time_s,q_rad,q_deg,qd_rad,qd_deg,qdot_rad_s,qd_dot_rad_s,e_rad,edot_rad_s,tau_cmd_Nm,tq_cmd_permille,pos_counts
0.357147,1.702067,97.521240,0.108528,6.218218,1.875390,0.342427,-1.593538,-1.532963,-24.669557,-1000.000000,88766
0.366045,1.702067,97.521240,0.110241,6.316316,1.781621,0.342427,-1.591826,-1.439194,-24.596990,-1000.000000,88766
0.375347,1.702067,97.521240,0.111953,6.414414,1.692540,0.342427,-1.590114,-1.350113,-24.526768,-1000.000000,88766
0.384216,1.702067,97.521240,0.113665,6.512513,1.607913,0.342427,-1.588402,-1.265486,-24.458772,-1000.000000,88766
0.394086,1.702067,97.521240,0.115377,6.610611,1.527517,0.342427,-1.586690,-1.185090,-24.392892,-1000.000000,88766
0.402122,1.702067,97.521240,0.117089,6.708709,1.451141,0.342427,-1.584978,-1.108714,-24.329022,-1000.000000,88766
0.412063,1.702067,97.521240,0.118801,6.806807,1.378584,0.342427,-1.583266,-1.036157,-24.267062,-1000.000000,88766
0.420146,1.702067,97.521240,0.120513,6.904905,1.309655,0.342427,-1.581553,-0.967228,-24.206915,-1000.000000,88766
0.429044,1.702067,97.521240,0.122225,7.003003,1.244172,0.342427,-1.579841,-0.901745,-24.148492,-1000.000000,88766
0.439277,1.702067,97.521240,0.123938,7.101101,1.181963,0.342427,-1.578129,-0.839537,-24.091705,-1000.000000,88766
0.448060,1.702067,97.521240,0.125650,7.199199,1.122865,0.342427,-1.576417,-0.780438,-24.036474,-1000.000000,88766
0.456191,1.702067,97.521240,0.127362,7.297297,1.066722,0.342427,-1.574705,-0.724295,-23.982721,-1000.000000,88766
0.465063,1.702067,97.521240,0.129074,7.395395,1.013386,0.342427,-1.572993,-0.670959,-23.930370,-1000.000000,88766
0.475243,1.702067,97.521240,0.130786,7.493493,0.962717,0.342427,-1.571281,-0.620290,-23.879354,-1000.000000,88766
0.484171,1.702067,97.521240,0.132498,7.591592,0.914581,0.342427,-1.569568,-0.572154,-23.829604,-1000.000000,88766
0.494085,1.702067,97.521240,0.134210,7.689690,0.868852,0.342427,-1.567856,-0.526425,-23.781057,-1000.000000,88766
0.502118,1.702067,97.521240,0.135923,7.787788,0.825409,0.342427,-1.566144,-0.482982,-23.733654,-1000.000000,88766
0.511057,1.702067,97.521240,0.137635,7.885886,0.784139,0.342427,-1.564432,-0.441712,-23.687337,-1000.000000,88766
0.519149,1.702067,97.521240,0.139347,7.983984,0.744932,0.342427,-1.562720,-0.402505,-23.642051,-1000.000000,88766
0.529090,1.702067,97.521240,0.141059,8.082082,0.707685,0.342427,-1.561008,-0.365258,-23.597746,-1000.000000,88766
0.537141,1.702067,97.521240,0.142771,8.180180,0.672301,0.342427,-1.559296,-0.329874,-23.554372,-1000.000000,88766
0.546050,1.702067,97.521240,0.144483,8.278278,0.638686,0.342427,-1.557584,-0.296259,-23.511882,-1000.000000,88766
0.555097,1.702067,97.521240,0.146195,8.376376,0.606752,0.342427,-1.555871,-0.264325,-23.470233,-1000.000000,88766
0.565085,1.702067,97.521240,0.147907,8.474474,0.576414,0.342427,-1.554159,-0.233987,-23.429382,-1000.000000,88766
0.574145,1.702067,97.521240,0.149620,8.572573,0.547593,0.342427,-1.552447,-0.205166,-23.389290,-1000.000000,88766
0.583042,1.702067,97.521240,0.151332,8.670671,0.520214,0.342427,-1.550735,-0.177787,-23.349918,-1000.000000,88766
0.591131,1.702067,97.521240,0.153044,8.768769,0.494203,0.342427,-1.549023,-0.151776,-23.311231,-1000.000000,88766
0.600242,1.702067,97.521240,0.154756,8.866867,0.469493,0.342427,-1.547311,-0.127066,-23.273194,-1000.000000,88766
0.610347,1.702067,97.521240,0.156468,8.964965,0.446018,0.342427,-1.545599,-0.103591,-23.235774,-1000.000000,88766
