t_s,q_ref_deg,qd_ref_deg_s,qdd_ref_deg_s2,q_link_deg,tau_joint_ff_Nm,tau_motor_ff_Nm,tau_dead_motor_Nm,tau_motor_cmd_before_clamp_Nm,tau_motor_cmd_Nm,tau_motor_actual_Nm,motor_pos_counts,motor_vel_native
0.436000,32.496146,792.941750,-320.724125,1.365601,-9.983241,-0.155988,0.160200,0.004212,0.004212,0.008544,1243,0
0.438000,34.065962,776.486750,-336.217596,1.364502,-10.468037,-0.163563,0.160200,-0.003363,-0.003363,0.007476,1242,0
0.440000,35.602093,759.264000,-351.378597,1.363403,-10.942767,-0.170981,0.160200,-0.010781,-0.010781,-0.004272,1241,-1
0.442000,37.103018,741.290000,-366.192135,1.361206,-11.406952,-0.178234,0.160200,-0.018034,-0.018034,-0.011748,1239,-1
0.444000,38.567253,722.583250,-380.643561,1.359009,-11.860120,-0.185314,0.160200,-0.025114,-0.025114,-0.021360,1237,-1
0.446000,39.993351,703.162250,-394.718586,1.356812,-12.301810,-0.192216,0.160200,-0.032016,-0.032016,-0.023496,1235,-3
0.448000,41.379902,683.045750,-408.403291,1.350220,-12.731567,-0.198931,0.160200,-0.038731,-0.038731,-0.034176,1229,-6
0.450000,42.725534,662.253500,-421.684145,1.341431,-13.148949,-0.205452,0.160200,-0.045252,-0.045252,-0.039516,1221,-8
0.452000,44.028916,640.806500,-434.548013,1.328247,-13.553521,-0.211774,0.160200,-0.051574,-0.051574,-0.043788,1209,-11
0.454000,45.288760,618.726000,-446.982176,1.313965,-13.944862,-0.217888,0.160200,-0.057688,-0.057688,-0.053400,1196,-15
0.456000,46.503820,596.033500,-458.974338,1.294189,-14.322562,-0.223790,0.160200,-0.063590,-0.063590,-0.057672,1178,-18
0.458000,47.672894,572.751750,-470.512641,1.262329,-14.686223,-0.229472,0.160200,-0.069272,-0.069272,-0.065148,1149,-22
0.460000,48.794827,548.903750,-481.585675,1.234863,-15.035459,-0.234929,0.160200,-0.074729,-0.074729,-0.071556,1124,-20
0.462000,49.868509,524.512750,-492.182489,1.201904,-15.369900,-0.240155,0.160200,-0.079955,-0.079955,-0.075828,1094,-21
0.464000,50.892878,499.603000,-502.292607,1.167847,-15.689187,-0.245144,0.160200,-0.084944,-0.084944,-0.077964,1063,-24
0.466000,51.866921,474.199250,-511.906029,1.130493,-15.992979,-0.249890,0.160200,-0.089690,-0.089690,-0.086508,1029,-21
0.468000,52.789675,448.326750,-521.013250,1.101929,-16.280949,-0.254390,0.160200,-0.094190,-0.094190,-0.089712,1003,-25
0.470000,53.660228,422.011000,-529.605264,1.068970,-16.552784,-0.258637,0.160200,-0.098437,-0.098437,-0.091848,973,-25
0.472000,54.477719,395.277750,-537.673575,1.033813,-16.808191,-0.262628,0.160200,-0.102428,-0.102428,-0.100392,941,-28
0.474000,55.241339,368.153750,-545.210204,0.998657,-17.046891,-0.266358,0.160200,-0.106158,-0.106158,-0.103596,909,-27
0.476000,55.950334,340.665500,-552.207699,0.965698,-17.268624,-0.269822,0.160200,-0.109622,-0.109622,-0.101460,879,-30
0.478000,56.604001,312.840500,-558.659140,0.927246,-17.473147,-0.273018,0.160200,-0.112818,-0.112818,-0.111072,844,-34
0.480000,57.201696,284.706250,-564.558147,0.882202,-17.660236,-0.275941,0.160200,-0.115741,-0.115741,-0.113208,803,-33
0.482000,57.742826,256.290250,-569.898888,0.843750,-17.829685,-0.278589,0.160200,-0.118389,-0.118389,-0.115344,768,-35
0.484000,58.226857,227.620750,-574.676082,0.797607,-17.981306,-0.280958,0.160200,-0.120758,-0.120758,-0.121752,726,-35
0.486000,58.653309,198.726500,-578.885003,0.752563,-18.114933,-0.283046,0.160200,-0.122846,-0.122846,-0.117480,685,-41
0.488000,59.021763,169.635750,-582.521491,0.691040,-18.230418,-0.284850,0.160200,-0.124650,-0.124650,-0.121752,629,-51
0.490000,59.331852,140.376750,-585.581948,0.631714,-18.327632,-0.286369,0.160200,-0.126169,-0.126169,-0.124956,575,-48
0.492000,59.583270,110.979500,-588.063350,0.561401,-18.406468,-0.287601,0.160200,-0.127401,-0.127401,-0.126024,511,-50
0.494000,59.775770,81.472250,-589.963242,0.499878,-18.466839,-0.288544,0.160200,-0.128344,-0.128344,-0.126024,455,-53
0.496000,59.909159,51.884250,-591.279745,0.422974,-18.508676,-0.289198,0.160200,-0.128998,-0.128998,-0.124956,385,-58
0.498000,59.983307,22.245500,-592.011558,0.349365,-18.531934,-0.289561,0.160200,-0.129361,-0.129361,-0.133500,318,-56
0.500000,59.998141,-7.415500,-592.157957,0.272461,-18.536587,-0.289634,-0.160200,-0.449834,-0.449834,-0.128160,248,-55
0.502000,59.953645,-37.069500,-591.718797,0.149414,-18.522630,-0.289416,-0.160200,-0.449616,-0.449616,-0.450696,136,-157
0.504000,59.849863,-66.686750,-590.694512,-0.080200,-18.490077,-0.288907,-0.160200,-0.449107,-0.449107,-0.444288,-73,-230
0.506000,59.686898,-96.237750,-589.086116,-0.442749,-18.438966,-0.288109,-0.160200,-0.448309,-0.448309,-0.444288,-403,-342
0.508000,59.464912,-125.693750,-586.895198,-0.962402,-18.369353,-0.287021,-0.160200,-0.447221,-0.447221,-0.450696,-876,-393
0.510000,59.184123,-155.025500,-584.123926,-1.546875,-18.281316,-0.285646,-0.160200,-0.445846,-0.445846,-0.442152,-1408,-430
0.512000,58.844810,-184.203750,-580.775039,-2.212646,-18.174952,-0.283984,-0.160200,-0.444184,-0.444184,-0.441084,-2014,-472
0.514000,58.447308,-213.200000,-576.851850,-2.852051,-18.050379,-0.282037,-0.160200,-0.442237,-0.442237,-0.440016,-2596,-504
0.516000,57.992010,-241.985500,-572.358237,-3.755127,-17.907735,-0.279808,-0.160200,-0.440008,-0.440008,-0.440016,-3418,-513
0.518000,57.479366,-270.531750,-567.298644,-4.550537,-17.747177,-0.277300,-0.160200,-0.437500,-0.437500,-0.442152,-4142,-516
0.520000,56.909883,-298.810250,-561.678075,-5.252563,-17.568884,-0.274514,-0.160200,-0.434714,-0.434714,-0.436812,-4781,-532
0.522000,56.284125,-326.793250,-555.502087,-6.142456,-17.373051,-0.271454,-0.160200,-0.431654,-0.431654,-0.436812,-5591,-540
0.524000,55.602710,-354.453500,-548.776788,-6.869751,-17.159894,-0.268123,-0.160200,-0.428323,-0.428323,-0.435744,-6253,-545
0.526000,54.866311,-381.763000,-541.508828,-7.729980,-16.929646,-0.264526,-0.160200,-0.424726,-0.424726,-0.431472,-7036,-532
0.528000,54.075658,-408.694750,-533.705393,-8.542969,-16.682559,-0.260665,-0.160200,-0.420865,-0.420865,-0.423996,-7776,-524
0.530000,53.231532,-435.222750,-525.374201,-9.381226,-16.418902,-0.256545,-0.160200,-0.416745,-0.416745,-0.421860,-8539,-529
0.532000,52.334767,-461.320250,-516.523489,-10.053589,-16.138961,-0.252171,-0.160200,-0.412371,-0.412371,-0.415452,-9151,-529
0.534000,51.386251,-486.961250,-507.162010,-10.810547,-15.843041,-0.247548,-0.160200,-0.407748,-0.407748,-0.411180,-9840,-510
0.536000,50.386922,-512.121000,-497.299021,-11.554321,-15.531459,-0.242679,-0.160200,-0.402879,-0.402879,-0.403704,-10517,-502
0.538000,49.337767,-536.774500,-486.944275,-12.276123,-15.204552,-0.237571,-0.160200,-0.397771,-0.397771,-0.399432,-11174,-516
0.540000,48.239824,-560.897000,-476.108012,-12.883667,-14.862668,-0.232229,-0.160200,-0.392429,-0.392429,-0.401568,-11727,-504
0.542000,47.094179,-584.465000,-464.800946,-13.476929,-14.506172,-0.226659,-0.160200,-0.386859,-0.386859,-0.389820,-12267,-500
0.544000,45.901964,-607.455000,-453.034259,-14.276733,-14.135443,-0.220866,-0.160200,-0.381066,-0.381066,-0.386616,-12995,-484
0.546000,44.664359,-629.844250,-440.819586,-14.861206,-13.750872,-0.214857,-0.160200,-0.375057,-0.375057,-0.378072,-13527,-471
0.548000,43.382587,-651.610500,-428.169007,-15.511597,-13.352863,-0.208638,-0.160200,-0.368838,-0.368838,-0.384480,-14119,-449
0.550000,42.057917,-672.732500,-415.095030,-16.142212,-12.941832,-0.202216,-0.160200,-0.362416,-0.362416,-0.368460,-14693,-427
0.552000,40.691657,-693.189500,-401.610584,-16.729980,-12.518208,-0.195597,-0.160200,-0.355797,-0.355797,-0.363120,-15228,-437
0.554000,39.285159,-712.961000,-387.729003,-17.237549,-12.082428,-0.188788,-0.160200,-0.348988,-0.348988,-0.357780,-15690,-432
0.556000,37.839813,-732.027250,-373.464013,-17.861572,-11.634942,-0.181796,-0.160200,-0.341996,-0.341996,-0.350304,-16258,-381
0.558000,36.357050,-750.369750,-358.829722,-18.383423,-11.176207,-0.174628,-0.160200,-0.334828,-0.334828,-0.344964,-16733,-373
0.560000,34.838334,-767.970500,-343.840600,-18.883301,-10.706690,-0.167292,-0.160200,-0.327492,-0.327492,-0.337488,-17188,-363
0.562000,33.285168,-784.811250,-328.511469,-19.449097,-10.226867,-0.159795,-0.160200,-0.319995,-0.319995,-0.328944,-17703,-346
0.564000,31.699089,-800.876250,-312.857488,-19.990723,-9.737221,-0.152144,-0.160200,-0.312344,-0.312344,-0.318264,-18196,-327
0.566000,30.081663,-816.149500,-296.894136,-20.457642,-9.238241,-0.144348,-0.160200,-0.304548,-0.304548,-0.311856,-18621,-323
0.568000,28.434491,-830.615500,-280.637198,-20.925659,-8.730424,-0.136413,-0.160200,-0.296613,-0.296613,-0.304380,-19047,-347
0.570000,26.759201,-844.260000,-264.102750,-21.320068,-8.214274,-0.128348,-0.160200,-0.288548,-0.288548,-0.292632,-19406,-315
0.572000,25.057451,-857.069750,-247.307143,-21.740845,-7.690297,-0.120161,-0.160200,-0.280361,-0.280361,-0.291564,-19789,-275
0.574000,23.330922,-869.032250,-230.266985,-22.167114,-7.159008,-0.111859,-0.160200,-0.272059,-0.272059,-0.274476,-20177,-292
0.576000,21.581322,-880.135250,-212.999126,-22.554932,-6.620923,-0.103452,-0.160200,-0.263652,-0.263652,-0.272340,-20530,-285
0.578000,19.810381,-890.367750,-195.520641,-22.947144,-6.076564,-0.094946,-0.160200,-0.255146,-0.255146,-0.264864,-20887,-254
0.580000,18.019851,-899.719750,-177.848815,-23.326172,-5.526457,-0.086351,-0.160200,-0.246551,-0.246551,-0.255252,-21232,-260
0.582000,16.211502,-908.182250,-160.001122,-23.671143,-4.971129,-0.077674,-0.160200,-0.237874,-0.237874,-0.249912,-21546,-202
0.584000,14.387122,-915.746750,-141.995211,-23.966675,-4.411111,-0.068924,-0.160200,-0.229124,-0.229124,-0.238164,-21815,-192
0.586000,12.548515,-922.405750,-123.848887,-24.265503,-3.846938,-0.060108,-0.160200,-0.220308,-0.220308,-0.230688,-22087,-186
0.588000,10.697499,-928.152250,-105.580095,-24.543457,-3.279144,-0.051237,-0.160200,-0.211437,-0.211437,-0.217872,-22340,-191
0.590000,8.835906,-932.981250,-87.206899,-24.820312,-2.708268,-0.042317,-0.160200,-0.202517,-0.202517,-0.209328,-22592,-179
0.592000,6.965574,-936.887750,-68.747467,-25.038940,-2.134847,-0.033357,-0.160200,-0.193557,-0.193557,-0.201852,-22791,-163
0.594000,5.088355,-939.867500,-50.220055,-25.264160,-1.559422,-0.024366,-0.160200,-0.184566,-0.184566,-0.191172,-22996,-156
0.596000,3.206104,-941.918000,-31.642982,-25.434448,-0.982534,-0.015352,-0.160200,-0.175552,-0.175552,-0.185832,-23151,-126
0.598000,1.320683,-943.037000,-13.034619,-25.604736,-0.404725,-0.006324,-0.160200,-0.166524,-0.166524,-0.174084,-23306,-128
0.600000,-0.566044,-943.223750,5.586634,-25.767334,0.173464,0.002710,-0.160200,-0.157490,-0.157490,-0.164472,-23454,-103
0.602000,-2.452212,-942.477500,24.202362,-25.933228,0.751491,0.011742,-0.160200,-0.148458,-0.148458,-0.156996,-23605,-91
0.604000,-4.335954,-940.799250,42.794157,-26.058472,1.328812,0.020763,-0.160200,-0.139437,-0.139437,-0.149520,-23719,-80
0.606000,-6.215409,-938.191000,61.343636,-26.187012,1.904887,0.029764,-0.160200,-0.130436,-0.130436,-0.138840,-23836,-70
0.608000,-8.088718,-934.654750,79.832454,-26.292480,2.479175,0.038737,-0.160200,-0.121463,-0.121463,-0.129228,-23932,-59
0.610000,-9.954028,-930.194250,98.242329,-26.373779,3.051133,0.047674,-0.160200,-0.112526,-0.112526,-0.120684,-24006,-60
0.612000,-11.809495,-924.814250,116.555057,-26.451782,3.620225,0.056566,-0.160200,-0.103634,-0.103634,-0.106800,-24077,-50
0.614000,-13.653285,-918.519500,134.752529,-26.513306,4.185911,0.065405,-0.160200,-0.094795,-0.094795,-0.104664,-24133,-36
0.616000,-15.483573,-911.316250,152.816750,-26.577026,4.747655,0.074182,-0.160200,-0.086018,-0.086018,-0.095052,-24191,-36
0.618000,-17.298550,-903.212000,170.729857,-26.630859,5.304922,0.082889,-0.160200,-0.077311,-0.077311,-0.090780,-24240,-18
0.620000,-19.096421,-894.214750,188.474137,-26.656128,5.857182,0.091518,-0.160200,-0.068682,-0.068682,-0.080100,-24263,-12
0.622000,-20.875409,-884.333250,206.032044,-26.670410,6.403903,0.100061,-0.160200,-0.060139,-0.060139,-0.068352,-24276,-6
0.624000,-22.633754,-873.577000,223.386214,-26.677002,6.944560,0.108509,-0.160200,-0.051691,-0.051691,-0.058740,-24282,-3
0.626000,-24.369717,-861.957250,240.519488,-26.678101,7.478630,0.116854,-0.160200,-0.043346,-0.043346,-0.056604,-24283,0
0.628000,-26.081583,-849.485000,257.414922,-26.678101,8.005594,0.125087,-0.160200,-0.035113,-0.035113,-0.045924,-24283,0
0.630000,-27.767657,-836.172500,274.055810,-26.678101,8.524936,0.133202,-0.160200,-0.026998,-0.026998,-0.042720,-24283,0
0.632000,-29.426273,-822.033500,290.425697,-26.678101,9.036147,0.141190,-0.160200,-0.019010,-0.019010,-0.023496,-24283,0
0.634000,-31.055791,-807.081500,306.508394,-26.677002,9.538721,0.149043,-0.160200,-0.011157,-0.011157,-0.021360,-24282,0
0.636000,-32.654599,-791.331500,322.287999,-26.675903,10.032160,0.156753,-0.160200,-0.003447,-0.003447,-0.008544,-24281,1
0.638000,-34.221117,-774.798750,337.748907,-26.674805,10.515971,0.164312,-0.160200,0.004112,0.004112,-0.007476,-24280,1
0.640000,-35.753794,-757.500000,352.875831,-26.672607,10.989668,0.171714,-0.160200,0.011514,0.011514,0.005340,-24278,2
0.642000,-37.251117,-739.452250,367.653811,-26.670410,11.452772,0.178950,-0.160200,0.018750,0.018750,0.013884,-24276,2
0.644000,-38.711603,-720.673000,382.068234,-26.666016,11.904813,0.186013,-0.160200,0.025813,0.025813,0.017088,-24272,5
0.646000,-40.133809,-701.181500,396.104847,-26.657227,12.345330,0.192896,-0.160200,0.032696,0.032696,0.025632,-24264,6
0.648000,-41.516329,-680.996500,409.749770,-26.649536,12.773869,0.199592,-0.160200,0.039392,0.039392,0.037380,-24257,8
0.650000,-42.857795,-660.137750,422.989509,-26.635254,13.189989,0.206094,-0.160200,0.045894,0.045894,0.037380,-24244,12
0.652000,-44.156880,-638.626500,435.810972,-26.616577,13.593257,0.212395,-0.160200,0.052195,0.052195,0.041652,-24227,18
0.654000,-45.412301,-616.484000,448.201482,-26.593506,13.983253,0.218488,-0.160200,0.058288,0.058288,0.053400,-24206,17
0.656000,-46.622816,-593.731750,460.148784,-26.572632,14.359567,0.224368,-0.160200,0.064168,0.064168,0.056604,-24187,16
0.658000,-47.787228,-570.392000,471.641066,-26.551758,14.721802,0.230028,-0.160200,0.069828,0.069828,0.061944,-24168,11
0.660000,-48.904384,-546.488500,482.666963,-26.534180,15.069575,0.235462,-0.160200,0.075262,0.075262,0.069420,-24152,13
0.662000,-49.973182,-522.044750,493.215571,-26.512207,15.402516,0.240664,-0.160200,0.080464,0.080464,0.073692,-24132,16
0.664000,-50.992563,-497.084500,503.276461,-26.488037,15.720269,0.245629,-0.160200,0.085429,0.085429,0.077964,-24110,19
0.666000,-51.961520,-471.632750,512.839683,-26.456177,16.022493,0.250351,-0.160200,0.090151,0.090151,0.085440,-24081,23
0.668000,-52.879094,-445.714750,521.895780,-26.425415,16.308863,0.254826,-0.160200,0.094626,0.094626,0.083304,-24053,25
0.670000,-53.744379,-419.356000,530.435797,-26.388062,16.579069,0.259048,-0.160200,0.098848,0.098848,0.096120,-24019,34
0.672000,-54.556518,-392.582500,538.451290,-26.346313,16.832817,0.263013,-0.160200,0.102813,0.102813,0.099324,-23981,29
0.674000,-55.314709,-365.420750,545.934333,-26.307861,17.069832,0.266716,-0.160200,0.106516,0.106516,0.100392,-23946,28
0.676000,-56.018201,-337.897750,552.877525,-26.267212,17.289855,0.270154,-0.160200,0.109954,0.109954,0.106800,-23909,33
0.678000,-56.666300,-310.040500,559.274000,-26.230957,17.492644,0.273323,-0.160200,0.113123,0.113123,0.113208,-23876,35
0.680000,-57.258363,-281.876750,565.117435,-26.179321,17.677978,0.276218,-0.160200,0.116018,0.116018,0.111072,-23829,37
0.682000,-57.793807,-253.434250,570.402050,-26.136475,17.845652,0.278838,-0.160200,0.118638,0.118638,0.112140,-23790,38
0.684000,-58.272100,-224.741000,575.122619,-26.073853,17.995481,0.281179,-0.160200,0.120979,0.120979,0.121752,-23733,44
0.686000,-58.692771,-195.825750,579.274475,-26.023315,18.127300,0.283239,-0.160200,0.123039,0.123039,0.119616,-23687,47
0.688000,-59.055403,-166.716750,582.853512,-25.959595,18.240963,0.285015,-0.160200,0.124815,0.124815,0.120684,-23629,46
0.690000,-59.359638,-137.443000,585.856191,-25.884888,18.336344,0.286505,-0.160200,0.126305,0.126305,0.123888,-23561,54
0.692000,-59.605175,-108.033250,588.279543,-25.813477,18.413338,0.287708,-0.160200,0.127508,0.127508,0.126024,-23496,56
0.694000,-59.791771,-78.516750,590.121171,-25.743164,18.471857,0.288623,-0.160200,0.128423,0.128423,0.126024,-23432,56
0.696000,-59.919242,-48.922500,591.379254,-25.662964,18.511839,0.289247,-0.160200,0.129047,0.129047,0.127092,-23359,57
0.698000,-59.987461,-19.279750,592.052549,-25.588257,18.533237,0.289582,-0.160200,0.129382,0.129382,0.129228,-23291,61
0.700000,-59.996361,10.382000,592.140388,-25.510254,18.536029,0.289625,0.160200,0.449825,0.449825,0.132432,-23220,49
0.702000,-59.945933,40.033500,591.642687,-25.436646,18.520211,0.289378,0.160200,0.449578,0.449578,0.444288,-23153,123
0.704000,-59.836227,69.645250,590.559936,-25.214722,18.485801,0.288841,0.160200,0.449041,0.449041,0.448560,-22951,224
0.706000,-59.667352,99.188000,588.893206,-24.868652,18.432837,0.288013,0.160200,0.448213,0.448213,0.444288,-22636,307
0.708000,-59.439475,128.633000,586.644146,-24.364380,18.361377,0.286897,0.160200,0.447097,0.447097,0.448560,-22177,379
0.710000,-59.152820,157.950750,583.814980,-23.862305,18.271502,0.285492,0.160200,0.445692,0.445692,0.447492,-21720,424
0.712000,-58.807672,187.112000,580.408504,-23.293213,18.163312,0.283802,0.160200,0.444002,0.444002,0.442152,-21202,442
0.714000,-58.404372,216.088500,576.428088,-22.432983,18.036925,0.281827,0.160200,0.442027,0.442027,0.442152,-20419,493
0.716000,-57.943318,244.851250,571.877668,-21.449707,17.892482,0.279570,0.160200,0.439770,0.439770,0.441084,-19524,500
0.718000,-57.424967,273.372000,566.761744,-20.822388,17.730143,0.277033,0.160200,0.437233,0.437233,0.441084,-18953,527
0.720000,-56.849830,301.622500,561.085374,-20.042358,17.550087,0.274220,0.160200,0.434420,0.434420,0.435744,-18243,522
0.722000,-56.218477,329.574500,554.854171,-19.297485,17.352512,0.271133,0.160200,0.431333,0.431333,0.433608,-17565,526
0.724000,-55.531532,357.200500,548.074297,-18.493286,17.137634,0.267776,0.160200,0.427976,0.427976,0.431472,-16833,547
0.726000,-54.789675,384.473250,540.752457,-17.849487,16.905691,0.264151,0.160200,0.424351,0.424351,0.428268,-16247,543
0.728000,-53.993639,411.366250,532.895891,-17.072754,16.656934,0.260265,0.160200,0.420465,0.420465,0.421860,-15540,541
0.730000,-53.144210,437.852250,524.512368,-16.232300,16.391636,0.256119,0.160200,0.416319,0.416319,0.422928,-14775,536
0.732000,-52.242230,463.905250,515.610177,-15.446777,16.110083,0.251720,0.160200,0.411920,0.411920,0.420792,-14060,528
0.734000,-51.288589,489.499500,506.198122,-14.744751,15.812582,0.247072,0.160200,0.407272,0.407272,0.413316,-13421,527
0.736000,-50.284232,514.609750,496.285511,-13.984497,15.499452,0.242179,0.160200,0.402379,0.402379,0.401568,-12729,530
0.738000,-49.230150,539.211000,485.882144,-13.296753,15.171031,0.237047,0.160200,0.397247,0.397247,0.403704,-12103,510
0.740000,-48.127388,563.279000,474.998310,-12.617798,14.827669,0.231682,0.160200,0.391882,0.391882,0.399432,-11485,501
0.742000,-46.977034,586.790500,463.644772,-11.963013,14.469733,0.226090,0.160200,0.386290,0.386290,0.389820,-10889,510
0.744000,-45.780226,609.721250,451.832755,-11.276367,14.097602,0.220275,0.160200,0.380475,0.380475,0.387684,-10264,495
0.746000,-44.538149,632.049000,439.573941,-10.574341,13.711669,0.214245,0.160200,0.374445,0.374445,0.379140,-9625,473
0.748000,-43.252030,653.752250,426.880452,-9.873413,13.312339,0.208005,0.160200,0.368205,0.368205,0.373800,-8987,459
0.750000,-41.923140,674.808750,413.764839,-9.201050,12.900029,0.201563,0.160200,0.361763,0.361763,0.369528,-8375,468
0.752000,-40.552795,695.197750,400.240073,-8.624268,12.475170,0.194925,0.160200,0.355125,0.355125,0.362052,-7850,459
0.754000,-39.142349,714.899500,386.319527,-7.981567,12.038199,0.188097,0.160200,0.348297,0.348297,0.359916,-7265,442
0.756000,-37.693197,733.894500,372.016967,-7.072998,11.589567,0.181087,0.160200,0.341287,0.341287,0.346032,-6438,407
0.758000,-36.206771,752.163500,357.346536,-6.499512,11.129733,0.173902,0.160200,0.334102,0.334102,0.342828,-5916,417
0.760000,-34.684543,769.688750,342.322740,-5.876587,10.659164,0.166549,0.160200,0.326749,0.326749,0.335352,-5349,391
0.762000,-33.128016,786.453000,326.960436,-5.387695,10.178337,0.159037,0.160200,0.319237,0.319237,0.328944,-4904,410
0.764000,-31.538731,802.439500,311.274816,-4.866943,9.687735,0.151371,0.160200,0.311571,0.311571,0.324672,-4430,344
0.766000,-29.918258,817.632750,295.281390,-4.398926,9.187849,0.143560,0.160200,0.303760,0.303760,0.313992,-4004,369
0.768000,-28.268200,832.017250,278.995973,-3.958374,8.679176,0.135612,0.160200,0.295812,0.295812,0.306516,-3603,351
0.770000,-26.590189,845.578750,262.434670,-3.450806,8.162220,0.127535,0.160200,0.287735,0.287735,0.296904,-3141,339
0.772000,-24.885885,858.304250,245.613856,-3.034424,7.637489,0.119336,0.160200,0.279536,0.279536,0.287292,-2762,317
0.774000,-23.156972,870.181250,228.550165,-2.608154,7.105497,0.111023,0.160200,0.271223,0.271223,0.280884,-2374,320
0.776000,-21.405160,881.197750,211.260472,-2.248901,6.566761,0.102606,0.160200,0.262806,0.262806,0.270204,-2047,273
0.778000,-19.632181,891.342750,193.761872,-1.854492,6.021804,0.094091,0.160200,0.254291,0.254291,0.267000,-1688,249
0.780000,-17.839789,900.606250,176.071670,-1.495239,5.471150,0.085487,0.160200,0.245687,0.245687,0.252048,-1361,267
0.782000,-16.029756,908.979500,158.207358,-1.135986,4.915329,0.076802,0.160200,0.237002,0.237002,0.240300,-1034,238
0.784000,-14.203871,916.453500,140.186602,-0.802002,4.354872,0.068045,0.160200,0.228245,0.228245,0.223212,-730,230
0.786000,-12.363942,923.021250,122.027222,-0.500977,3.790313,0.059224,0.160200,0.219424,0.219424,0.225348,-456,223
0.788000,-10.511786,928.676750,103.747174,-0.183472,3.222187,0.050347,0.160200,0.210547,0.210547,0.216804,-167,184
0.790000,-8.649235,933.413500,85.364535,0.086792,2.651031,0.041422,0.160200,0.201622,0.201622,0.210396,79,183
0.792000,-6.778132,937.227250,66.897484,0.354858,2.077386,0.032459,0.160200,0.192659,0.192659,0.203988,323,161
0.794000,-4.900326,940.114500,48.364280,0.584473,1.501790,0.023465,0.160200,0.183665,0.183665,0.191172,532,178
0.796000,-3.017674,942.072000,29.783250,0.816284,0.924786,0.014450,0.160200,0.174650,0.174650,0.185832,743,138
0.798000,-1.132038,943.097750,11.172770,1.007446,0.346914,0.005421,0.160200,0.165621,0.165621,0.174084,917,136
0.800000,0.754717,943.191000,-7.448759,1.204102,-0.231283,-0.003614,0.160200,0.156586,0.156586,0.166608,1096,125
0.802000,2.640726,942.351500,-26.062922,1.379883,-0.809263,-0.012645,0.160200,0.147555,0.147555,0.160200,1256,112
0.804000,4.524123,940.580250,-44.651312,1.563354,-1.386485,-0.021664,0.160200,0.138536,0.138536,0.146316,1423,101
0.806000,6.403047,937.879250,-63.195549,1.709473,-1.962405,-0.030663,0.160200,0.129537,0.129537,0.139908,1556,90
0.808000,8.275640,934.250250,-81.677295,1.857788,-2.536484,-0.039633,0.160200,0.120567,0.120567,0.129228,1691,83
0.810000,10.140048,929.697500,-100.078273,1.966553,-3.108181,-0.048565,0.160200,0.111635,0.111635,0.119616,1790,62
0.812000,11.994430,924.225750,-118.380289,2.068726,-3.676956,-0.057452,0.160200,0.102748,0.102748,0.112140,1883,52
0.814000,13.836951,917.839750,-136.565243,2.146729,-4.242271,-0.066285,0.160200,0.093915,0.093915,0.103596,1954,51
0.816000,15.665789,910.546250,-154.615154,2.221436,-4.803592,-0.075056,0.160200,0.085144,0.085144,0.093984,2022,40
0.818000,17.479136,902.352500,-172.512173,2.284058,-5.360382,-0.083756,0.160200,0.076444,0.076444,0.082236,2079,31
0.820000,19.275199,893.266250,-190.238603,2.325806,-5.912112,-0.092377,0.160200,0.067823,0.067823,0.075828,2117,23
0.822000,21.052201,883.296750,-207.776914,2.364258,-6.458250,-0.100910,0.160200,0.059290,0.059290,0.070488,2152,19
0.824000,22.808386,872.453750,-225.109763,2.392822,-6.998272,-0.109348,0.160200,0.050852,0.050852,0.055536,2178,18
0.826000,24.542016,860.748000,-242.220011,2.413696,-7.531655,-0.117682,0.160200,0.042518,0.042518,0.053400,2197,7
0.828000,26.251378,848.191500,-259.090739,2.420288,-8.057879,-0.125904,0.160200,0.034296,0.034296,0.044856,2203,2
0.830000,27.934782,834.795750,-275.705263,2.420288,-8.576431,-0.134007,0.160200,0.026193,0.026193,0.037380,2203,0
0.832000,29.590561,820.574500,-292.047155,2.419189,-9.086801,-0.141981,0.160200,0.018219,0.018219,0.024564,2202,0
0.834000,31.217080,805.542250,-308.100254,2.418091,-9.588484,-0.149820,0.160200,0.010380,0.010380,0.020292,2201,-1
0.836000,32.812730,789.713000,-323.848686,2.415894,-10.080982,-0.157515,0.160200,0.002685,0.002685,0.010680,2199,-1
0.838000,34.375932,773.103000,-339.276878,2.414795,-10.563804,-0.165059,0.160200,-0.004859,-0.004859,0.004272,2198,-1
0.840000,35.905142,755.728750,-354.369575,2.413696,-11.036463,-0.172445,0.160200,-0.012245,-0.012245,-0.003204,2197,-1
0.842000,37.398847,737.607000,-369.111851,2.410400,-11.498482,-0.179664,0.160200,-0.019464,-0.019464,-0.008544,2194,-2
0.844000,38.855570,718.755750,-383.489129,2.407104,-11.949391,-0.186709,0.160200,-0.026509,-0.026509,-0.021360,2191,-4
0.846000,40.273870,699.193750,-397.487191,2.399414,-12.388730,-0.193574,0.160200,-0.033374,-0.033374,-0.025632,2184,-6
0.848000,41.652345,678.940500,-411.092196,2.390625,-12.816048,-0.200251,0.160200,-0.040051,-0.040051,-0.029904,2176,-6
0.850000,42.989632,658.015750,-424.290690,2.381836,-13.230901,-0.206733,0.160200,-0.046533,-0.046533,-0.040584,2168,-8
0.852000,44.284408,636.440500,-437.069622,2.370850,-13.632861,-0.213013,0.160200,-0.052813,-0.052813,-0.046992,2158,-9
