time_s,qd_rad,qd_dot,qd_ddot,tau_Nm
0.0,0.5751400106612711,-0.08797472318518018,0.0,1.6440745558547134
0.005,0.5747001370453452,-0.08797472318518018,0.0,1.6429587911997683
0.01,0.5742602634294193,-0.08797472318518018,1.1102230246251565e-12,1.6418427086507066
0.015,0.5738203898134934,-0.08797472318516908,1.1102230246251565e-12,1.6407263084234778
0.02,0.5733805161975676,-0.08797472318516908,-1.1102230246251565e-12,1.6396095907340928
0.025,0.5729406425816417,-0.08797472318518018,-1.1102230246251565e-12,1.6384925557986243
0.03,0.5725007689657158,-0.08797472318518018,0.0,1.6373752038332057
0.035,0.5720608953497899,-0.08797472318518018,0.0,1.636257535054032
0.04,0.571621021733864,-0.08797472318518018,1.1102230246251565e-12,1.63513954967736
0.045,0.5711811481179381,-0.08797472318516908,-1.5277789923118235,1.6340105534665605
0.05,0.5707412745020123,-0.10325251310829842,-3.208335883858604,1.6328801716456647
0.055,0.5701486229868551,-0.12005808202375512,-1.8333347907772968,1.63138215825413
0.06,0.5695406936817747,-0.12158586101607138,-0.1527778992305162,1.6298468234372525
0.065,0.5689327643766944,-0.12158586101606028,1.1102230246251565e-12,1.6283001918114575
0.07,0.5683248350716141,-0.12158586101606028,-1.1102230246251565e-12,1.6267518889563932
0.075,0.5677169057665338,-0.12158586101607138,0.0,1.6252029848895728
0.08,0.5671089764614534,-0.12158586101606028,1.1102230246251565e-12,1.623653480183437
0.085,0.5665010471563732,-0.12158586101606028,-1.1102230246251565e-12,1.622103375410649
0.09,0.5658931178512928,-0.12158586101607138,-1.1102230246251565e-12,1.6205526711440934
0.095,0.5652851885462125,-0.12158586101607138,-0.4190931299230538,1.6189984343049668
0.1,0.5646772592411321,-0.12577679231530192,-0.9313180664960452,1.6174429471958596
0.105,0.5640274206230594,-0.13089904168103184,-0.6053567432240392,1.6157856817089193
0.11,0.5633682688243218,-0.13183035974754231,-0.09313180665104781,1.6141052391518513
0.115,0.562709117025584,-0.13183035974754231,1.1102230246251565e-12,1.6124211616444066
0.12,0.5620499652268464,-0.1318303597475312,0.0,1.610735731647831
0.125,0.5613908134281087,-0.13183035974754231,-1.1102230246251565e-12,1.609049601817058
0.13,0.5607316616293709,-0.13183035974754231,1.1102230246251565e-12,1.6073627728846793
0.135,0.5600725098306333,-0.1318303597475312,0.0,1.6056752455835903
0.14,0.5594133580318956,-0.13183035974754231,-1.1102230246251565e-12,1.6039870206469897
0.145,0.5587542062331579,-0.13183035974754231,0.15762618803871753,1.602299202191695
0.15,0.5580950544344202,-0.13025409786715514,0.37436219659126024,1.600611101336939
0.155,0.5574516652544863,-0.1280867377816297,0.2758458290663679,1.598960527682724
0.16,0.5568141870566039,-0.12749563957649146,0.059109820513825184,1.5973236316035972
0.165,0.5561767088587214,-0.12749563957649146,0.0,1.5956871897900708
0.17,0.555539230660839,-0.12749563957649146,0.0,1.5940505132924192
0.17500000000000002,0.5549017524629565,-0.12749563957649146,0.0,1.592413189007008
0.18,0.5542642742650741,-0.12749563957649146,-1.1102230246251565e-12,1.5907752175992107
0.185,0.5536267960671916,-0.12749563957650256,0.0,1.5891365997346634
0.19,0.552989317869309,-0.12749563957649146,1.1102230246251565e-12,1.5874973360792655
0.195,0.5523518396714266,-0.12749563957649146,0.1280235957001885,1.5858583234643482
0.2,0.5517143614735441,-0.12621540361948957,0.32920353180143636,1.584219178485548
0.20500000000000002,0.5510896856352318,-0.1242036042584771,0.27433627650119696,1.5826105635789272
0.21,0.5504723254309594,-0.1234720408544776,0.07315634039883889,1.581019151855639
0.215,0.549854965226687,-0.12347204085448871,-1.1102230246251565e-12,1.5794280337181792
0.22,0.5492376050224145,-0.12347204085448871,1.1102230246251565e-12,1.5778368257019943
0.225,0.5486202448181421,-0.1234720408544776,1.1102230246251565e-12,1.5762450163191646
0.23,0.5480028846138697,-0.1234720408544776,-1.1102230246251565e-12,1.5746526061763821
0.23500000000000001,0.5473855244095973,-0.12347204085448871,-1.1102230246251565e-12,1.573059595880568
0.24,0.5467681642053248,-0.12347204085448871,1.1102230246251565e-12,1.5714659860388713
0.245,0.5461508040010524,-0.1234720408544776,-0.2359597410517278,1.5698701255404839
0.25,0.54553344379678,-0.12583163826500599,-0.6685525996485975,1.5682722902793762
0.255,0.5448924876184024,-0.13015756685096358,-0.6292259761397911,1.5666161713006248
0.26,0.5442318681282704,-0.1321238980264039,-0.19663311754403168,1.5649113166529625
0.265,0.5435712486381383,-0.1321238980264039,0.0,1.5632041273308963
0.27,0.5429106291480064,-0.1321238980264039,0.0,1.5614948793664403
0.275,0.5422500096578743,-0.1321238980264039,0.0,1.5597849499373637
0.28,0.5415893901677423,-0.1321238980264039,0.0,1.5580743397899113
0.28500000000000003,0.5409287706776102,-0.1321238980264039,0.0,1.5563630496706236
0.29,0.5402681511874783,-0.1321238980264039,0.0,1.554651080326339
0.295,0.5396075316973462,-0.1321238980264039,-0.5709925624886036,1.5529344355562538
