time_s,qd_rad,tau_Nm
0.0,0.5751400106612711,1.6440745558547134
0.005,0.5747001370453452,1.6429587911997683
0.01,0.5742602634294193,1.6418427086507066
0.015,0.5738203898134934,1.6407263084234778
0.02,0.5733805161975676,1.6396095907340928
0.025,0.5729406425816417,1.6384925557986243
0.03,0.5725007689657158,1.6373737081055209
0.035,0.5720608953497899,1.63625379573482
0.04,0.571621021733864,1.6351336066526925
0.045,0.5711811481179381,1.6340137094519753
0.05,0.5707412745020123,1.6328944533521748
0.055,0.5701486229868551,1.631387263671294
0.06,0.5695406936817747,1.629841610826271
0.065,0.5689327643766944,1.6282960436600116
0.07,0.5683248350716141,1.6267500342540642
0.075,0.5677169057665338,1.6252028353168044
0.08,0.5671089764614534,1.6236530698824707
0.085,0.5665010471563732,1.6221022995103374
0.09,0.5658931178512928,1.6205509205266369
0.095,0.5652851885462125,1.6189991128211945
0.1,0.5646772592411321,1.6174469894201948
0.105,0.5640274206230594,1.6157875485783162
0.11,0.5633682688243218,1.614103933786925
0.115,0.562709117025584,1.6124198365242486
0.12,0.5620499652268464,1.6107351025196825
0.125,0.5613908134281087,1.6090495106390654
0.13,0.5607316616293709,1.6073629272040242
0.135,0.5600725098306333,1.6056756738197726
0.14,0.5594133580318956,1.6039877356599546
0.145,0.5587542062331579,1.6022990350124047
0.15,0.5580950544344202,1.6006095224571413
0.155,0.5574516652544863,1.5989596062676352
0.16,0.5568141870566039,1.5973240640192619
0.165,0.5561767088587214,1.5956877762035815
0.17,0.555539230660839,1.5940508064991745
0.17500000000000002,0.5549017524629565,1.5924132468767622
0.18,0.5542642742650741,1.5907753429369966
0.185,0.5536267960671916,1.5891369721669417
0.19,0.552989317869309,1.5874979758988206
0.195,0.5523518396714266,1.5858582795961231
0.2,0.5517143614735441,1.5842178349838514
0.20500000000000002,0.5510896856352318,1.5826095862426197
0.21,0.5504723254309594,1.5810194419230863
0.215,0.549854965226687,1.5794286019161423
0.22,0.5492376050224145,1.577837122931601
0.225,0.5486202448181421,1.5762450879407566
0.23,0.5480028846138697,1.5746523751668455
0.23500000000000001,0.5473855244095973,1.5730588489497326
0.24,0.5467681642053248,1.5714646615841943
0.245,0.5461508040010524,1.5698699805178302
0.25,0.54553344379678,1.5682749167294698
0.255,0.5448924876184024,1.566618535298217
0.26,0.5442318681282704,1.564910932278761
0.265,0.5435712486381383,1.5632028542116718
0.27,0.5429106291480064,1.5614941863378302
0.275,0.5422500096578743,1.5597847574294166
0.28,0.5415893901677423,1.5580737807762137
0.28500000000000003,0.5409287706776102,1.5563610372213124
0.29,0.5402681511874783,1.5546473833824193
0.295,0.5396075316973462,1.5529333193922377
0.3,0.5389469122072142,1.5512191814064178
0.305,0.5382291934608333,1.5493569636381028
0.31,0.5374429556069538,1.547316834010943
0.315,0.5366567177530743,1.5452763739711592
0.32,0.5358704798991948,1.5432352642797627
0.325,0.5350842420453152,1.541193021721005
0.33,0.5342980041914357,1.539148333922448
0.335,0.5335117663375561,1.537100593714977
0.34,0.5327255284836766,1.5350514820358103
0.34500000000000003,0.5319392906297971,1.5330017651070091
0.35000000000000003,0.5311530527759175,1.5309519652519141
0.355,0.5302988715436266,1.5287252126676985
0.36,0.529325789399116,1.5261883383186943
0.365,0.5283527072546054,1.5236509833424698
0.37,0.5273796251100947,1.5211126956038683
0.375,0.5264065429655841,1.5185727790697923
0.38,0.5254334608210733,1.5160296838156382
0.385,0.5244603786765627,1.5134821183375993
0.39,0.5234872965320521,1.510932509763826
0.395,0.5225142143875414,1.5083818229398767
0.4,0.5215411322430308,1.5058307244935878
0.405,0.5205057436131387,1.5031162063246237
0.41000000000000003,0.5193042043555628,1.4999655696545866
0.41500000000000004,0.518102665097987,1.496813987462515
0.42,0.5169011258404111,1.4936609356406154
0.425,0.5156995865828353,1.4905055918651375
0.43,0.5144980473252594,1.4873464055198715
0.435,0.5132965080676836,1.4841813378729716
0.44,0.5120949688101077,1.4810133820485827
0.445,0.5108934295525319,1.4778435891350103
0.45,0.509691890294956,1.474672694834214
0.455,0.5084464217950945,1.4713851421752986
0.46,0.5070032717049471,1.4675745606510657
0.465,0.5055601216147997,1.4637622558509638
0.47000000000000003,0.5041169715246523,1.4599477052920857
0.47500000000000003,0.5026738214345049,1.4561300711084426
0.48,0.5012306713443575,1.4523080027045219
0.485,0.49978752125421017,1.4484789218576557
0.49,0.49834437116406277,1.4446460480557028
0.495,0.4969012210739154,1.440810376007142
0.5,0.49545807098376804,1.436972610985295
0.505,0.4939947633659445,1.433079527659593
0.51,0.4923298804713595,1.4286479439825923
0.515,0.49066499757677456,1.424213663319607
0.52,0.48900011468218957,1.4197762374925715
0.525,0.4873352317876046,1.4153349288929413
