t_s,q_joint_deg,qd_joint_deg_s,qdd_joint_deg_s2,tau_joint_ff_Nm,tau_dead_Nm,tau_joint_total_Nm,tau_motor_cmd_Nm,tau_motor_actual_Nm,motor_pos_counts,motor_pos_deg_est,motor_vel_native
0.108000,59.514021,-119.811500,-587.379888,0.511205,-0.160200,-12.304795,-0.153810,0.000000,3682,1294.453125,0
0.110000,59.244973,-149.170500,-584.724485,0.510140,-0.160200,-12.305860,-0.153823,0.000000,3682,1294.453125,0
0.112000,58.917339,-178.382000,-581.490875,0.508823,-0.160200,-12.307177,-0.153840,0.000000,3682,1294.453125,0
0.114000,58.531445,-207.416750,-577.682254,0.507242,-0.160200,-12.308758,-0.153859,0.000000,3682,1294.453125,0
0.116000,58.087672,-236.246500,-573.302388,0.505384,-0.160200,-12.310616,-0.153883,0.000000,3682,1294.453125,0
0.118000,57.586459,-264.842750,-568.355609,0.503234,-0.160200,-12.312766,-0.153910,0.000000,3682,1294.453125,0
0.120000,57.028301,-293.177250,-562.846808,0.500778,-0.160200,-12.315222,-0.153940,0.000000,3682,1294.453125,0
0.122000,56.413750,-321.221750,-556.781433,0.497997,-0.160200,-12.318003,-0.153975,0.000000,3682,1294.453125,0
0.124000,55.743414,-348.948750,-550.165481,0.494873,-0.160200,-12.321127,-0.154014,0.000000,3682,1294.453125,0
0.126000,55.017955,-376.330500,-543.005495,0.491386,-0.160200,-12.324614,-0.154058,0.000000,3682,1294.453125,0
0.128000,54.238092,-403.339750,-535.308555,0.487517,-0.160200,-12.328483,-0.154106,0.000000,3682,1294.453125,0
0.130000,53.404596,-429.950500,-527.082272,0.483243,-0.160200,-12.332757,-0.154159,0.000000,3682,1294.453125,0
0.132000,52.518290,-456.136500,-518.334780,0.478545,-0.160200,-12.337455,-0.154218,0.000000,3682,1294.453125,0
0.134000,51.580050,-481.871000,-509.074730,0.473399,-0.160200,-12.342601,-0.154283,0.000000,3682,1294.453125,0
0.136000,50.590806,-507.128750,-499.311279,0.467786,-0.160200,-12.348214,-0.154353,0.000000,3682,1294.453125,0
0.138000,49.551535,-531.885500,-489.054081,0.461683,-0.160200,-12.354317,-0.154429,0.000000,3682,1294.453125,0
0.140000,48.463264,-556.116250,-478.313278,0.455069,-0.160200,-12.360931,-0.154512,0.000000,3682,1294.453125,0
0.142000,47.327070,-579.796750,-467.099493,0.447926,-0.160200,-12.368074,-0.154601,0.000000,3682,1294.453125,0
0.144000,46.144077,-602.904250,-455.423814,0.440234,-0.160200,-12.375766,-0.154697,0.000000,3682,1294.453125,0
0.146000,44.915453,-625.415500,-443.297786,0.431975,-0.160200,-12.384025,-0.154800,0.000000,3682,1294.453125,0
0.148000,43.642415,-647.308250,-430.733401,0.423135,-0.160200,-12.392865,-0.154911,0.000000,3682,1294.453125,0
0.150000,42.326220,-668.560750,-417.743082,0.413697,-0.160200,-12.402303,-0.155029,0.000000,3682,1294.453125,0
0.152000,40.968172,-689.152250,-404.339676,0.403651,-0.160200,-12.412349,-0.155154,0.000000,3682,1294.453125,0
0.154000,39.569611,-709.062500,-390.536436,0.392986,-0.160200,-12.423014,-0.155288,0.000000,3682,1294.453125,0
0.156000,38.131922,-728.271250,-376.347012,0.381695,-0.160200,-12.434305,-0.155429,0.000000,3682,1294.453125,0
0.158000,36.656526,-746.760000,-361.785435,0.369773,-0.160200,-12.446227,-0.155578,0.000000,3682,1294.453125,0
0.160000,35.144882,-764.510500,-346.866104,0.357218,-0.160200,-12.458782,-0.155735,0.000000,3682,1294.453125,0
0.162000,33.598484,-781.504750,-331.603773,0.344030,-0.160200,-12.471970,-0.155900,0.000000,3682,1294.453125,0
0.164000,32.018863,-797.726250,-316.013534,0.330214,-0.160200,-12.485786,-0.156072,0.000000,3682,1294.453125,0
0.166000,30.407579,-813.159000,-300.110802,0.315777,-0.160200,-12.500223,-0.156253,0.000000,3682,1294.453125,0
0.168000,28.766227,-827.787250,-283.911305,0.300730,-0.160200,-12.515270,-0.156441,0.000000,3682,1294.453125,0
0.170000,27.096430,-841.597500,-267.431059,0.285086,-0.160200,-12.530914,-0.156636,0.000000,3682,1294.453125,0
0.172000,25.399837,-854.575500,-250.686364,0.268863,-0.160200,-12.547137,-0.156839,0.000000,3682,1294.453125,0
0.174000,23.678128,-866.708000,-233.693775,0.252081,-0.160200,-12.563919,-0.157049,0.000000,3682,1294.453125,0
0.176000,21.933005,-877.983750,-216.470097,0.234765,-0.160200,-12.581235,-0.157265,0.000000,3682,1294.453125,0
0.178000,20.166193,-888.391250,-199.032362,0.216940,-0.160200,-12.599060,-0.157488,0.000000,3682,1294.453125,0
0.180000,18.379440,-897.920250,-181.397812,0.198638,-0.160200,-12.617362,-0.157717,0.000000,3682,1294.453125,0
0.182000,16.574512,-906.561500,-163.583885,0.179892,-0.160200,-12.636108,-0.157951,0.000000,3682,1294.453125,0
0.184000,14.753194,-914.306250,-145.608198,0.160738,-0.160200,-12.655262,-0.158191,0.000000,3682,1294.453125,0
0.186000,12.917287,-921.146750,-127.488525,0.141215,-0.160200,-12.674785,-0.158435,0.000000,3682,1294.453125,0
0.188000,11.068607,-927.076250,-109.242785,0.121364,-0.160200,-12.694636,-0.158683,0.000000,3682,1294.453125,0
0.190000,9.208982,-932.089000,-90.889019,0.101228,-0.160200,-12.714772,-0.158935,0.000000,3682,1294.453125,0
0.192000,7.340251,-936.180250,-72.445377,0.080852,-0.160200,-12.735148,-0.159189,0.000000,3682,1294.453125,0
0.194000,5.464261,-939.345750,-53.930097,0.060285,-0.160200,-12.755715,-0.159446,0.000000,3682,1294.453125,0
0.196000,3.582868,-941.582500,-35.361488,0.039573,-0.160200,-12.776427,-0.159705,0.000000,3682,1294.453125,0
0.198000,1.697931,-942.888000,-16.757912,0.018766,-0.160200,-12.797234,-0.159965,0.000000,3682,1294.453125,0
0.200000,-0.188684,-943.261000,1.862236,-0.002086,-0.160200,-12.818086,-0.160226,0.000000,3682,1294.453125,0
0.202000,-2.075113,-942.701250,20.480542,-0.022933,-0.160200,-12.838933,-0.160487,0.000000,3682,1294.453125,0
0.204000,-3.959489,-941.209500,39.078596,-0.043725,-0.160200,-12.859725,-0.160747,0.000000,3682,1294.453125,0
0.206000,-5.839951,-938.787000,57.638006,-0.064411,-0.160200,-12.880411,-0.161005,0.000000,3682,1294.453125,0
0.208000,-7.714637,-935.436000,76.140422,-0.084944,-0.160200,-12.900944,-0.161262,0.000000,3682,1294.453125,0
0.210000,-9.581695,-931.160250,94.567545,-0.105275,-0.160200,-12.921275,-0.161516,0.000000,3682,1294.453125,0
0.212000,-11.439278,-925.963500,112.901154,-0.125358,-0.160200,-12.941358,-0.161767,0.000000,3682,1294.453125,0
0.214000,-13.285549,-919.851000,131.123121,-0.145147,-0.160200,-12.961147,-0.162014,0.000000,3682,1294.453125,0
0.216000,-15.118682,-912.829250,149.215425,-0.164600,-0.160200,-12.980600,-0.162257,0.000000,3682,1294.453125,0
0.218000,-16.936866,-904.904750,167.160178,-0.183675,-0.160200,-12.999675,-0.162496,0.000000,3682,1294.453125,0
0.220000,-18.738301,-896.085250,184.939632,-0.202335,-0.160200,-13.018335,-0.162729,0.000000,3682,1294.453125,0
0.222000,-20.521207,-886.379750,202.536209,-0.220544,-0.160200,-13.036544,-0.162957,0.000000,3682,1294.453125,0
0.224000,-22.283820,-875.797750,219.932506,-0.238269,-0.160200,-13.054269,-0.163178,0.000000,3682,1294.453125,0
0.226000,-24.024398,-864.349750,237.111321,-0.255481,-0.160200,-13.071481,-0.163394,0.000000,3682,1294.453125,0
0.228000,-25.741219,-852.047000,254.055668,-0.272153,-0.160200,-13.088153,-0.163602,0.000000,3682,1294.453125,0
0.230000,-27.432586,-838.901750,270.748790,-0.288262,-0.160200,-13.104262,-0.163803,0.000000,3682,1294.453125,0
0.232000,-29.096826,-824.926750,287.174181,-0.303788,-0.160200,-13.119788,-0.163997,0.000000,3682,1294.453125,0
0.234000,-30.732293,-810.136250,303.315597,-0.318714,-0.160200,-13.134714,-0.164184,0.000000,3682,1294.453125,0
0.236000,-32.337371,-794.544500,319.157079,-0.333027,-0.160200,-13.149027,-0.164363,0.000000,3682,1294.453125,0
0.238000,-33.910471,-778.167000,334.682960,-0.346718,-0.160200,-13.162718,-0.164534,0.000000,3682,1294.453125,0
0.240000,-35.450039,-761.020250,349.877888,-0.359779,-0.160200,-13.175779,-0.164697,0.000000,3682,1294.453125,0
0.242000,-36.954552,-743.120750,364.726837,-0.372208,-0.160200,-13.188208,-0.164853,0.000000,3682,1294.453125,0
0.244000,-38.422522,-724.486500,379.215124,-0.384004,-0.160200,-13.200004,-0.165000,0.000000,3682,1294.453125,0
0.246000,-39.852498,-705.136000,393.328421,-0.395169,-0.160200,-13.211169,-0.165140,0.000000,3682,1294.453125,0
0.248000,-41.243066,-685.088000,407.052774,-0.405709,-0.160200,-13.221709,-0.165271,0.000000,3682,1294.453125,0
0.250000,-42.592850,-664.362500,420.374610,-0.415633,-0.160200,-13.231633,-0.165395,0.000000,3682,1294.453125,0
0.252000,-43.900516,-642.980250,433.280756,-0.424950,-0.160200,-13.240950,-0.165512,0.000000,3682,1294.453125,0
0.254000,-45.164771,-620.962000,445.758450,-0.433673,-0.160200,-13.249673,-0.165621,0.000000,3682,1294.453125,0
0.256000,-46.384364,-598.329500,457.795354,-0.441817,-0.160200,-13.257817,-0.165723,0.000000,3682,1294.453125,0
0.258000,-47.558089,-575.105750,469.379563,-0.449398,-0.160200,-13.265398,-0.165817,0.000000,3682,1294.453125,0
0.260000,-48.684787,-551.313500,480.499624,-0.456434,-0.160200,-13.272434,-0.165905,0.000000,3682,1294.453125,0
0.262000,-49.763343,-526.975500,491.144540,-0.462943,-0.160200,-13.278943,-0.165987,0.000000,3682,1294.453125,0
0.264000,-50.792689,-502.116500,501.303785,-0.468947,-0.160200,-13.284947,-0.166062,0.000000,3682,1294.453125,0
0.266000,-51.771809,-476.761250,510.967313,-0.474465,-0.160200,-13.290465,-0.166131,0.000000,3682,1294.453125,0
0.268000,-52.699734,-450.934500,520.125568,-0.479519,-0.160200,-13.295519,-0.166194,0.000000,3682,1294.453125,0
0.270000,-53.575547,-424.661750,528.769493,-0.484131,-0.160200,-13.300131,-0.166252,0.000000,3682,1294.453125,0
0.272000,-54.398381,-397.969000,536.890542,-0.488322,-0.160200,-13.304322,-0.166304,0.000000,3682,1294.453125,0
0.274000,-55.167423,-370.883000,544.480683,-0.492113,-0.160200,-13.308113,-0.166351,0.000000,3682,1294.453125,0
0.276000,-55.881913,-343.430000,551.532412,-0.495526,-0.160200,-13.311526,-0.166394,0.000000,3682,1294.453125,0
0.278000,-56.541143,-315.637250,558.038754,-0.498580,-0.160200,-13.314580,-0.166432,0.000000,3682,1294.453125,0
0.280000,-57.144462,-287.532750,563.993277,-0.501295,-0.160200,-13.317295,-0.166466,0.000000,3682,1294.453125,0
0.282000,-57.691274,-259.143750,569.390091,-0.503688,-0.160200,-13.319688,-0.166496,0.000000,3682,1294.453125,0
0.284000,-58.181037,-230.498500,574.223861,-0.505778,-0.160200,-13.321778,-0.166522,0.000000,3682,1294.453125,0
0.286000,-58.613268,-201.625250,578.489806,-0.507580,-0.160200,-13.323580,-0.166545,0.000000,3682,1294.453125,0
0.288000,-58.987538,-172.552500,582.183708,-0.509107,-0.160200,-13.325107,-0.166564,0.000000,3682,1294.453125,0
0.290000,-59.303478,-143.309500,585.301915,-0.510373,-0.160200,-13.326373,-0.166580,0.000000,3682,1294.453125,0
0.292000,-59.560776,-113.924750,587.841342,-0.511388,-0.160200,-13.327388,-0.166592,0.000000,3682,1294.453125,0
0.294000,-59.759177,-84.427000,589.799479,-0.512161,-0.160200,-13.328161,-0.166602,0.000000,3682,1294.453125,0
0.296000,-59.898484,-54.846000,591.174389,-0.512698,-0.160200,-13.328698,-0.166609,0.000000,3682,1294.453125,0
0.298000,-59.978561,-25.210750,591.964713,-0.513005,-0.160200,-13.329005,-0.166613,0.000000,3682,1294.453125,0
0.300000,-59.999327,4.449500,592.169669,-0.513085,0.160200,12.302915,0.153786,0.000000,3682,1294.453125,0
0.302000,-59.960763,34.105250,591.789055,-0.512937,0.160200,12.303063,0.153788,0.000000,3682,1294.453125,0
0.304000,-59.862906,63.727250,590.823247,-0.512561,0.160200,12.303439,0.153793,0.000000,3682,1294.453125,0
0.306000,-59.705854,93.286250,589.273200,-0.511954,0.160200,12.304046,0.153801,0.000000,3682,1294.453125,0
0.308000,-59.489761,122.753250,587.140446,-0.511109,0.160200,12.304891,0.153811,0.000000,3682,1294.453125,0
0.310000,-59.214841,152.098750,584.427095,-0.510020,0.160200,12.305980,0.153825,0.000000,3682,1294.453125,0
0.312000,-58.881366,181.293750,581.135831,-0.508677,0.160200,12.307323,0.153842,0.000000,3682,1294.453125,0
0.314000,-58.489666,210.309500,577.269906,-0.507069,0.160200,12.308931,0.153862,0.000000,3682,1294.453125,0
0.316000,-58.040128,239.117250,572.833145,-0.505182,0.160200,12.310818,0.153885,0.000000,3682,1294.453125,0
0.318000,-57.533197,267.688500,567.829934,-0.503003,0.160200,12.312997,0.153912,0.000000,3682,1294.453125,0
0.320000,-56.969374,295.995250,562.265222,-0.500515,0.160200,12.315485,0.153944,0.000000,3682,1294.453125,0
0.322000,-56.349216,324.009250,556.144510,-0.497700,0.160200,12.318300,0.153979,0.000000,3682,1294.453125,0
0.324000,-55.673337,351.702750,549.473852,-0.494541,0.160200,12.321459,0.154018,0.000000,3682,1294.453125,0
0.326000,-54.942405,379.048500,542.259843,-0.491017,0.160200,12.324983,0.154062,0.000000,3682,1294.453125,0
0.328000,-54.157143,406.019250,534.509617,-0.487108,0.160200,12.328892,0.154111,0.000000,3682,1294.453125,0
