t_s,q_joint_deg,qd_joint_deg_s,qdd_joint_deg_s2,tau_joint_ff_Nm,tau_dead_Nm,tau_joint_total_Nm,tau_motor_cmd_Nm,tau_motor_actual_Nm,motor_pos_counts,motor_pos_deg_est,motor_vel_native
0.000000,0.000000,943.265500,0.000000,0.000000,0.160200,12.816000,0.160200,0.161268,-847,-0.930542,20
0.002000,1.886531,942.799250,0.000000,0.027289,0.160200,12.843289,0.160541,0.158064,-811,-0.890991,50
0.004000,3.771197,941.400750,-37.220226,0.041649,0.160200,12.857649,0.160721,0.160200,-756,-0.830566,52
0.006000,5.652134,939.071000,-55.784328,0.062349,0.160200,12.878349,0.160979,0.161268,-685,-0.752563,59
0.008000,7.527481,935.812750,-74.293267,0.082899,0.160200,12.898899,0.161236,0.163404,-620,-0.681152,54
0.010000,9.395385,931.629250,-92.728741,0.103253,0.160200,12.919253,0.161491,0.161268,-549,-0.603149,69
0.012000,11.253998,926.524500,-111.072519,0.123362,0.160200,12.939362,0.161742,0.161268,-460,-0.505371,62
0.014000,13.101483,920.503500,-129.306462,0.143183,0.160200,12.959183,0.161990,0.162336,-376,-0.413086,70
0.016000,14.936012,913.572250,-147.412541,0.162671,0.160200,12.978671,0.162233,0.162336,-288,-0.316406,65
0.018000,16.755772,905.737500,-165.372849,0.181786,0.160200,12.997786,0.162472,0.166608,-203,-0.223022,66
0.020000,18.558962,897.007250,-183.169628,0.200489,0.160200,13.016489,0.162706,0.163404,-114,-0.125244,71
0.022000,20.343801,887.390000,-200.785278,0.218745,0.160200,13.034745,0.162934,0.159132,-23,-0.025269,72
0.024000,22.108522,876.895000,-218.202380,0.236520,0.160200,13.052520,0.163156,0.163404,64,0.070312,78
0.026000,23.851381,865.533250,-235.403712,0.253784,0.160200,13.069784,0.163372,0.162336,144,0.158203,77
0.028000,25.570655,853.315500,-252.372264,0.270511,0.160200,13.086511,0.163581,0.163404,229,0.251587,64
0.030000,27.264643,840.253750,-269.091255,0.286677,0.160200,13.102677,0.163783,0.160200,306,0.336182,84
0.032000,28.931670,826.361000,-285.544154,0.302262,0.160200,13.118262,0.163978,0.162336,379,0.416382,67
0.034000,30.570087,811.651500,-301.714692,0.317249,0.160200,13.133249,0.164166,0.164472,453,0.497681,57
0.036000,32.178276,796.139500,-317.586877,0.331624,0.160200,13.147624,0.164345,0.162336,536,0.588867,60
0.038000,33.754645,779.839750,-333.145014,0.345377,0.160200,13.161377,0.164517,0.164472,615,0.675659,58
0.040000,35.297635,762.769000,-348.373719,0.358502,0.160200,13.174502,0.164681,0.160200,689,0.756958,80
0.042000,36.805721,744.944000,-363.257932,0.370994,0.160200,13.186994,0.164837,0.159132,763,0.838257,61
0.044000,38.277411,726.382500,-377.782936,0.382852,0.160200,13.198852,0.164986,0.161268,840,0.922852,56
0.046000,39.711251,707.102750,-391.934367,0.394081,0.160200,13.210081,0.165126,0.168744,913,1.003052,78
0.048000,41.105822,687.123500,-405.698231,0.404683,0.160200,13.220683,0.165259,0.165540,990,1.087646,80
0.050000,42.459745,666.465000,-419.060918,0.414668,0.160200,13.230668,0.165383,0.160200,1071,1.176636,86
0.052000,43.771682,645.147500,-432.009215,0.424045,0.160200,13.240045,0.165501,0.165540,1151,1.264526,77
0.054000,45.040335,623.191750,-444.530316,0.432827,0.160200,13.248827,0.165610,0.168744,1236,1.357910,76
0.056000,46.264449,600.619750,-456.611842,0.441028,0.160200,13.257028,0.165713,0.169812,1324,1.454590,74
0.058000,47.442814,577.454250,-468.241844,0.448665,0.160200,13.264665,0.165808,0.165540,1425,1.565552,65
0.060000,48.574266,553.717500,-479.408822,0.455754,0.160200,13.271754,0.165897,0.167676,1516,1.665527,83
0.062000,49.657684,529.433000,-490.101734,0.462316,0.160200,13.278316,0.165979,0.164472,1604,1.762207,66
0.064000,50.691998,504.625250,-500.310006,0.468369,0.160200,13.284369,0.166055,0.165540,1688,1.854492,83
0.066000,51.676185,479.318500,-510.023544,0.473935,0.160200,13.289935,0.166124,0.163404,1779,1.954468,71
0.068000,52.609272,453.537750,-519.232741,0.479034,0.160200,13.295034,0.166188,0.166608,1862,2.045654,64
0.070000,53.490336,427.308250,-527.928493,0.483689,0.160200,13.299689,0.166246,0.165540,1948,2.140137,78
0.072000,54.318505,400.656500,-536.102199,0.487921,0.160200,13.303921,0.166299,0.168744,2029,2.229126,81
0.074000,55.092962,373.608500,-543.745778,0.491752,0.160200,13.307752,0.166347,0.165540,2110,2.318115,85
0.076000,55.812939,346.191000,-550.851670,0.495201,0.160200,13.311201,0.166390,0.166608,2193,2.409302,79
0.078000,56.477726,318.431250,-557.412850,0.498290,0.160200,13.314290,0.166429,0.167676,2273,2.497192,78
0.080000,57.086664,290.356250,-563.422828,0.501038,0.160200,13.317038,0.166463,0.166608,2359,2.591675,63
0.082000,57.639151,261.994500,-568.875663,0.503463,0.160200,13.319463,0.166493,0.168744,2444,2.685059,72
0.084000,58.134642,233.373750,-573.765962,0.505582,0.160200,13.321582,0.166520,0.163404,2536,2.786133,82
0.086000,58.572646,204.522000,-578.088888,0.507412,0.160200,13.323412,0.166543,0.166608,2622,2.880615,83
0.088000,58.952730,175.468250,-581.840169,0.508967,0.160200,13.324967,0.166562,0.165540,2702,2.968506,78
0.090000,59.274519,146.240750,-585.016093,0.510258,0.160200,13.326258,0.166578,0.164472,2788,3.062988,60
0.092000,59.537693,116.868500,-587.613520,0.511298,0.160200,13.327298,0.166591,0.166608,2877,3.160767,82
0.094000,59.741993,87.381000,-589.629883,0.512094,0.160200,13.328094,0.166601,0.169812,2964,3.256348,66
0.096000,59.887217,57.807000,-591.063187,0.512655,0.160200,13.328655,0.166608,0.166608,3048,3.348633,64
0.098000,59.973221,28.176000,-591.912014,0.512985,0.160200,13.328985,0.166612,0.165540,3130,3.438721,83
0.100000,59.999921,-1.483000,-592.175526,0.513087,-0.160200,-12.302913,-0.153786,-0.153792,3223,3.540894,19
0.102000,59.967289,-31.140750,-591.853461,0.512962,-0.160200,-12.303038,-0.153788,-0.152724,3219,3.536499,-45
0.104000,59.875358,-60.767500,-590.946139,0.512609,-0.160200,-12.303391,-0.153792,-0.151656,3152,3.462891,-74
0.106000,59.724219,-90.334250,-589.454456,0.512025,-0.160200,-12.303975,-0.153800,-0.159132,3064,3.366211,-95
0.108000,59.514021,-119.811500,-587.379888,0.511205,-0.160200,-12.304795,-0.153810,-0.152724,2958,3.249756,-72
0.110000,59.244973,-149.170500,-584.724485,0.510140,-0.160200,-12.305860,-0.153823,-0.152724,2853,3.134399,-77
0.112000,58.917339,-178.382000,-581.490875,0.508823,-0.160200,-12.307177,-0.153840,-0.154860,2762,3.034424,-82
0.114000,58.531445,-207.416750,-577.682254,0.507242,-0.160200,-12.308758,-0.153859,-0.154860,2675,2.938843,-61
0.116000,58.087672,-236.246500,-573.302388,0.505384,-0.160200,-12.310616,-0.153883,-0.152724,2589,2.844360,-69
0.118000,57.586459,-264.842750,-568.355609,0.503234,-0.160200,-12.312766,-0.153910,-0.154860,2492,2.737793,-64
0.120000,57.028301,-293.177250,-562.846808,0.500778,-0.160200,-12.315222,-0.153940,-0.151656,2409,2.646606,-74
0.122000,56.413750,-321.221750,-556.781433,0.497997,-0.160200,-12.318003,-0.153975,-0.150588,2322,2.551025,-74
0.124000,55.743414,-348.948750,-550.165481,0.494873,-0.160200,-12.321127,-0.154014,-0.155928,2245,2.466431,-76
0.126000,55.017955,-376.330500,-543.005495,0.491386,-0.160200,-12.324614,-0.154058,-0.155928,2167,2.380737,-74
0.128000,54.238092,-403.339750,-535.308555,0.487517,-0.160200,-12.328483,-0.154106,-0.148452,2082,2.287354,-65
0.130000,53.404596,-429.950500,-527.082272,0.483243,-0.160200,-12.332757,-0.154159,-0.154860,2009,2.207153,-54
0.132000,52.518290,-456.136500,-518.334780,0.478545,-0.160200,-12.337455,-0.154218,-0.147384,1942,2.133545,-63
0.134000,51.580050,-481.871000,-509.074730,0.473399,-0.160200,-12.342601,-0.154283,-0.152724,1873,2.057739,-75
0.136000,50.590806,-507.128750,-499.311279,0.467786,-0.160200,-12.348214,-0.154353,-0.153792,1804,1.981934,-56
0.138000,49.551535,-531.885500,-489.054081,0.461683,-0.160200,-12.354317,-0.154429,-0.147384,1733,1.903931,-71
0.140000,48.463264,-556.116250,-478.313278,0.455069,-0.160200,-12.360931,-0.154512,-0.154860,1657,1.820435,-68
0.142000,47.327070,-579.796750,-467.099493,0.447926,-0.160200,-12.368074,-0.154601,-0.154860,1577,1.732544,-66
0.144000,46.144077,-602.904250,-455.423814,0.440234,-0.160200,-12.375766,-0.154697,-0.152724,1495,1.642456,-75
0.146000,44.915453,-625.415500,-443.297786,0.431975,-0.160200,-12.384025,-0.154800,-0.152724,1407,1.545776,-56
0.148000,43.642415,-647.308250,-430.733401,0.423135,-0.160200,-12.392865,-0.154911,-0.155928,1329,1.460083,-65
0.150000,42.326220,-668.560750,-417.743082,0.413697,-0.160200,-12.402303,-0.155029,-0.155928,1257,1.380981,-52
0.152000,40.968172,-689.152250,-404.339676,0.403651,-0.160200,-12.412349,-0.155154,-0.155928,1188,1.305176,-71
0.154000,39.569611,-709.062500,-390.536436,0.392986,-0.160200,-12.423014,-0.155288,-0.154860,1117,1.227173,-57
0.156000,38.131922,-728.271250,-376.347012,0.381695,-0.160200,-12.434305,-0.155429,-0.154860,1028,1.129395,-67
0.158000,36.656526,-746.760000,-361.785435,0.369773,-0.160200,-12.446227,-0.155578,-0.156996,944,1.037109,-68
0.160000,35.144882,-764.510500,-346.866104,0.357218,-0.160200,-12.458782,-0.155735,-0.154860,863,0.948120,-55
0.162000,33.598484,-781.504750,-331.603773,0.344030,-0.160200,-12.471970,-0.155900,-0.155928,780,0.856934,-59
0.164000,32.018863,-797.726250,-316.013534,0.330214,-0.160200,-12.485786,-0.156072,-0.154860,697,0.765747,-66
0.166000,30.407579,-813.159000,-300.110802,0.315777,-0.160200,-12.500223,-0.156253,-0.149520,621,0.682251,-64
0.168000,28.766227,-827.787250,-283.911305,0.300730,-0.160200,-12.515270,-0.156441,-0.156996,531,0.583374,-70
0.170000,27.096430,-841.597500,-267.431059,0.285086,-0.160200,-12.530914,-0.156636,-0.160200,453,0.497681,-68
0.172000,25.399837,-854.575500,-250.686364,0.268863,-0.160200,-12.547137,-0.156839,-0.156996,368,0.404297,-71
0.174000,23.678128,-866.708000,-233.693775,0.252081,-0.160200,-12.563919,-0.157049,-0.156996,291,0.319702,-76
0.176000,21.933005,-877.983750,-216.470097,0.234765,-0.160200,-12.581235,-0.157265,-0.160200,214,0.235107,-80
0.178000,20.166193,-888.391250,-199.032362,0.216940,-0.160200,-12.599060,-0.157488,-0.156996,138,0.151611,-73
0.180000,18.379440,-897.920250,-181.397812,0.198638,-0.160200,-12.617362,-0.157717,-0.159132,57,0.062622,-68
0.182000,16.574512,-906.561500,-163.583885,0.179892,-0.160200,-12.636108,-0.157951,-0.158064,-19,-0.020874,-62
0.184000,14.753194,-914.306250,-145.608198,0.160738,-0.160200,-12.655262,-0.158191,-0.158064,-100,-0.109863,-67
0.186000,12.917287,-921.146750,-127.488525,0.141215,-0.160200,-12.674785,-0.158435,-0.156996,-179,-0.196655,-61
0.188000,11.068607,-927.076250,-109.242785,0.121364,-0.160200,-12.694636,-0.158683,-0.156996,-254,-0.279053,-62
0.190000,9.208982,-932.089000,-90.889019,0.101228,-0.160200,-12.714772,-0.158935,-0.155928,-339,-0.372437,-63
0.192000,7.340251,-936.180250,-72.445377,0.080852,-0.160200,-12.735148,-0.159189,-0.159132,-418,-0.459229,-69
0.194000,5.464261,-939.345750,-53.930097,0.060285,-0.160200,-12.755715,-0.159446,-0.159132,-494,-0.542725,-60
0.196000,3.582868,-941.582500,-35.361488,0.039573,-0.160200,-12.776427,-0.159705,-0.161268,-581,-0.638306,-61
0.198000,1.697931,-942.888000,-16.757912,0.018766,-0.160200,-12.797234,-0.159965,-0.153792,-673,-0.739380,-67
0.200000,-0.188684,-943.261000,1.862236,-0.002086,-0.160200,-12.818086,-0.160226,-0.159132,-759,-0.833862,-81
0.202000,-2.075113,-942.701250,20.480542,-0.022933,-0.160200,-12.838933,-0.160487,-0.162336,-859,-0.943726,-73
0.204000,-3.959489,-941.209500,39.078596,-0.043725,-0.160200,-12.859725,-0.160747,-0.162336,-952,-1.045898,-65
0.206000,-5.839951,-938.787000,57.638006,-0.064411,-0.160200,-12.880411,-0.161005,-0.159132,-1039,-1.141479,-71
0.208000,-7.714637,-935.436000,76.140422,-0.084944,-0.160200,-12.900944,-0.161262,-0.160200,-1133,-1.244751,-62
0.210000,-9.581695,-931.160250,94.567545,-0.105275,-0.160200,-12.921275,-0.161516,-0.164472,-1226,-1.346924,-84
0.212000,-11.439278,-925.963500,112.901154,-0.125358,-0.160200,-12.941358,-0.161767,-0.159132,-1313,-1.442505,-62
0.214000,-13.285549,-919.851000,131.123121,-0.145147,-0.160200,-12.961147,-0.162014,-0.163404,-1411,-1.550171,-69
0.216000,-15.118682,-912.829250,149.215425,-0.164600,-0.160200,-12.980600,-0.162257,-0.162336,-1511,-1.660034,-80
0.218000,-16.936866,-904.904750,167.160178,-0.183675,-0.160200,-12.999675,-0.162496,-0.154860,-1604,-1.762207,-86
0.220000,-18.738301,-896.085250,184.939632,-0.202335,-0.160200,-13.018335,-0.162729,-0.164472,-1704,-1.872070,-81
0.222000,-20.521207,-886.379750,202.536209,-0.220544,-0.160200,-13.036544,-0.162957,-0.163404,-1803,-1.980835,-69
0.224000,-22.283820,-875.797750,219.932506,-0.238269,-0.160200,-13.054269,-0.163178,-0.164472,-1899,-2.086304,-72
0.226000,-24.024398,-864.349750,237.111321,-0.255481,-0.160200,-13.071481,-0.163394,-0.165540,-1998,-2.195068,-82
0.228000,-25.741219,-852.047000,254.055668,-0.272153,-0.160200,-13.088153,-0.163602,-0.164472,-2081,-2.286255,-64
0.230000,-27.432586,-838.901750,270.748790,-0.288262,-0.160200,-13.104262,-0.163803,-0.166608,-2175,-2.389526,-64
0.232000,-29.096826,-824.926750,287.174181,-0.303788,-0.160200,-13.119788,-0.163997,-0.164472,-2261,-2.484009,-75
0.234000,-30.732293,-810.136250,303.315597,-0.318714,-0.160200,-13.134714,-0.164184,-0.165540,-2349,-2.580688,-68
0.236000,-32.337371,-794.544500,319.157079,-0.333027,-0.160200,-13.149027,-0.164363,-0.163404,-2440,-2.680664,-72
0.238000,-33.910471,-778.167000,334.682960,-0.346718,-0.160200,-13.162718,-0.164534,-0.166608,-2525,-2.774048,-72
0.240000,-35.450039,-761.020250,349.877888,-0.359779,-0.160200,-13.175779,-0.164697,-0.163404,-2611,-2.868530,-56
0.242000,-36.954552,-743.120750,364.726837,-0.372208,-0.160200,-13.188208,-0.164853,-0.161268,-2705,-2.971802,-64
0.244000,-38.422522,-724.486500,379.215124,-0.384004,-0.160200,-13.200004,-0.165000,-0.165540,-2799,-3.075073,-67
0.246000,-39.852498,-705.136000,393.328421,-0.395169,-0.160200,-13.211169,-0.165140,-0.165540,-2893,-3.178345,-67
0.248000,-41.243066,-685.088000,407.052774,-0.405709,-0.160200,-13.221709,-0.165271,-0.167676,-2985,-3.279419,-80
0.250000,-42.592850,-664.362500,420.374610,-0.415633,-0.160200,-13.231633,-0.165395,-0.165540,-3072,-3.375000,-79
0.252000,-43.900516,-642.980250,433.280756,-0.424950,-0.160200,-13.240950,-0.165512,-0.174084,-3160,-3.471680,-80
0.254000,-45.164771,-620.962000,445.758450,-0.433673,-0.160200,-13.249673,-0.165621,-0.164472,-3253,-3.573853,-75
0.256000,-46.384364,-598.329500,457.795354,-0.441817,-0.160200,-13.257817,-0.165723,-0.167676,-3346,-3.676025,-73
