time_s,encoder_count,q_ref_deg,q_link_deg,error_deg,qdot_link_deg_s,error_dot_deg_s,tau_pd_joint_Nm,tau_motor_cmd_Nm,target_torque_permille,actual_torque_permille,actual_torque_Nm,velocity_motor_rpm_606C,current_actual_mA,current_avg_mA,estimated_current_cmd_A,mode_display
3.584e-06,17,40,0.0186768,39.9813,0,0,100,1.25,600,-1,-0.001068,0,-2,-1,17.5562,10
0.0361242,40,40,0.0439453,39.9561,0.69956,-0.69956,100,1.25,600,600,0.6408,162,8944,8952,17.5562,10
0.0711427,801,40,0.880005,39.12,23.8748,-23.8748,100,1.25,600,600,0.6408,506,8973,8987,17.5562,10
0.10491,2164,40,2.37744,37.6226,44.3454,-44.3454,100,1.25,600,599,0.639732,711,9043,8988,17.5562,10
0.141073,4121,40,4.52747,35.4725,59.454,-59.454,100,1.25,600,602,0.642936,882,9121,8998,17.5562,10
0.175925,6266,40,6.88403,33.116,67.6157,-67.6157,100,1.25,600,598,0.638664,970,8983,8998,17.5562,10
0.208959,8545,40,9.38782,30.6122,75.7961,-75.7961,100,1.25,600,601,0.641868,1059,9043,9000,17.5562,10
0.241928,10963,40,12.0443,27.9557,80.5743,-80.5743,100,1.25,600,603,0.644004,1127,8980,8995,17.5562,10
0.272933,13356,40,14.6733,25.3267,84.7942,-84.7942,100,1.25,600,602,0.642936,1170,8972,9002,17.5562,10
0.302913,15785,40,17.3419,22.6581,89.013,-89.013,100,1.25,600,601,0.641868,1219,8976,9000,17.5562,10
0.33484,18466,40,20.2874,19.7126,92.2548,-92.2548,100,1.25,600,598,0.638664,1253,9088,9000,17.5562,10
0.365948,21159,40,23.246,16.754,95.1057,-95.1057,100,1.25,600,598,0.638664,1293,9003,9003,17.5562,10
0.399969,24177,40,26.5616,13.4384,97.4602,-97.4602,95.3995,1.19249,600,600,0.6408,1318,9000,8998,16.7485,10
0.430965,27048,40,29.7158,10.2842,101.762,-101.762,62.1369,0.776711,600,597,0.637596,1353,8993,9003,10.9089,10
0.465245,30243,40,33.226,6.77405,102.394,-102.394,26.7828,0.334785,313,602,0.642936,1375,8994,8997,4.70203,10
0.498878,33369,40,36.6603,3.33972,102.114,-102.114,-7.4483,-0.0931038,-87,311,0.332148,1312,4617,4713,-1.30764,10
0.531974,36116,40,39.6782,0.321777,91.1877,-91.1877,-33.2573,-0.415717,-389,-86,-0.091848,954,-1300,-1258,-5.83872,10
0.566279,37818,40,41.5481,-1.5481,54.5069,-54.5069,-37.2837,-0.466047,-436,-387,-0.413316,338,-5824,-5791,-6.5456,10
0.597955,38087,40,41.8436,-1.84363,9.32987,-9.32987,-22.1682,-0.277103,-259,-433,-0.462444,-167,-6528,-6527,-3.89189,10
0.632023,37492,40,41.1899,-1.18994,-19.1874,19.1874,-4.22446,-0.0528057,-49,-259,-0.276612,-331,-3866,-3892,-0.741654,10
0.668011,36671,40,40.288,-0.287964,-25.0635,25.0635,7.14576,0.089322,84,-51,-0.054468,-249,-759,-749,1.25452,10
0.701109,36207,40,39.7782,0.221802,-15.4017,15.4017,8.37869,0.104734,98,83,0.088644,-76,1236,1242,1.47098,10
0.734944,36150,40,39.7156,0.284424,-1.85081,1.85081,3.58456,0.044807,42,99,0.105732,31,1483,1467,0.629312,10
0.76596,36237,40,39.8112,0.188843,3.08167,-3.08167,0.655761,0.00819702,8,41,0.043788,37,615,633,0.115127,10
0.799892,36291,40,39.8705,0.129517,1.7484,-1.7484,0.595805,0.00744756,7,7,0.007476,4,142,120,0.104601,10
0.832,36286,40,39.865,0.13501,-0.171082,0.171082,1.41853,0.0177316,17,7,0.007476,-3,100,103,0.24904,10
0.866987,36284,40,39.8628,0.137207,-0.0628025,0.0628025,1.39719,0.0174649,16,18,0.019224,0,250,254,0.245293,10
0.896989,36284,40,39.8628,0.137207,0,0,1.37207,0.0171509,16,17,0.018156,0,231,239,0.240883,10
0.928869,36284,40,39.8628,0.137207,0,0,1.37207,0.0171509,16,16,0.017088,0,218,240,0.240883,10
0.965929,36284,40,39.8628,0.137207,0,0,1.37207,0.0171509,16,19,0.020292,0,282,240,0.240883,10
0.997979,36284,40,39.8628,0.137207,0,0,1.37207,0.0171509,16,21,0.022428,0,272,239,0.240883,10
1.03094,36284,40,39.8628,0.137207,0,0,1.37207,0.0171509,16,16,0.017088,0,263,240,0.240883,10
1.06607,36284,40,39.8628,0.137207,0,0,1.37207,0.0171509,16,21,0.022428,0,218,239,0.240883,10
1.10121,36284,40,39.8628,0.137207,0,0,1.37207,0.0171509,16,17,0.018156,0,240,240,0.240883,10
1.13499,36284,40,39.8628,0.137207,0,0,1.37207,0.0171509,16,14,0.014952,0,223,240,0.240883,10
1.17297,36284,40,39.8628,0.137207,0,0,1.37207,0.0171509,16,15,0.01602,0,227,240,0.240883,10
1.20904,36284,40,39.8628,0.137207,0,0,1.37207,0.0171509,16,18,0.019224,0,223,241,0.240883,10
1.24502,36284,40,39.8628,0.137207,0,0,1.37207,0.0171509,16,18,0.019224,0,291,241,0.240883,10
1.28222,36284,40,39.8628,0.137207,0,0,1.37207,0.0171509,16,16,0.017088,0,212,240,0.240883,10
1.31716,36284,40,39.8628,0.137207,0,0,1.37207,0.0171509,16,14,0.014952,0,250,240,0.240883,10
1.34998,36284,40,39.8628,0.137207,0,0,1.37207,0.0171509,16,11,0.011748,0,240,240,0.240883,10
1.38601,36284,40,39.8628,0.137207,0,0,1.37207,0.0171509,16,16,0.017088,0,231,240,0.240883,10
1.42194,36284,40,39.8628,0.137207,0,0,1.37207,0.0171509,16,17,0.018156,0,259,240,0.240883,10
1.455,36284,40,39.8628,0.137207,0,0,1.37207,0.0171509,16,16,0.017088,0,259,240,0.240883,10
1.48995,36284,40,39.8628,0.137207,0,0,1.37207,0.0171509,16,15,0.01602,0,240,240,0.240883,10
1.52503,36284,40,39.8628,0.137207,0,0,1.37207,0.0171509,16,17,0.018156,0,244,240,0.240883,10
1.56138,36284,40,39.8628,0.137207,0,0,1.37207,0.0171509,16,21,0.022428,0,263,240,0.240883,10
1.59399,36284,40,39.8628,0.137207,0,0,1.37207,0.0171509,16,17,0.018156,0,263,241,0.240883,10
1.626,36284,40,39.8628,0.137207,0,0,1.37207,0.0171509,16,18,0.019224,0,231,239,0.240883,10
1.65995,36284,40,39.8628,0.137207,0,0,1.37207,0.0171509,16,11,0.011748,0,199,240,0.240883,10
1.6941,36284,40,39.8628,0.137207,0,0,1.37207,0.0171509,16,15,0.01602,0,250,240,0.240883,10
1.73119,36284,40,39.8628,0.137207,0,0,1.37207,0.0171509,16,15,0.01602,0,263,239,0.240883,10
1.76698,36284,40,39.8628,0.137207,0,0,1.37207,0.0171509,16,14,0.014952,0,227,239,0.240883,10
