time_s,encoder_count,q_ref_deg,q_link_deg,error_deg,qdot_link_deg_s,error_dot_deg_s,tau_pd_joint_raw_Nm,tau_pd_joint_clamped_Nm,tau_motor_cmd_Nm,target_torque_permille,actual_torque_permille,actual_torque_Nm,velocity_motor_rpm_606C,current_actual_mA,current_avg_mA,estimated_current_cmd_A,mode_display
1.51882,36350,40,39.9353,0.0646973,0,0,0.646973,0.646973,0.00808716,8,8,0.008544,0,106,120,0.113584,10
1.55283,36350,40,39.9353,0.0646973,0,0,0.646973,0.646973,0.00808716,8,9,0.009612,0,143,120,0.113584,10
1.58695,36350,40,39.9353,0.0646973,0,0,0.646973,0.646973,0.00808716,8,10,0.01068,0,137,119,0.113584,10
1.6209,36350,40,39.9353,0.0646973,0,0,0.646973,0.646973,0.00808716,8,10,0.01068,0,113,120,0.113584,10
1.65191,36350,40,39.9353,0.0646973,0,0,0.646973,0.646973,0.00808716,8,9,0.009612,0,114,120,0.113584,10
1.68881,36350,40,39.9353,0.0646973,0,0,0.646973,0.646973,0.00808716,8,8,0.008544,0,129,120,0.113584,10
1.72119,36350,40,39.9353,0.0646973,0,0,0.646973,0.646973,0.00808716,8,10,0.01068,0,127,119,0.113584,10
1.75584,36350,40,39.9353,0.0646973,0,0,0.646973,0.646973,0.00808716,8,9,0.009612,0,121,119,0.113584,10
1.79312,36350,40,39.9353,0.0646973,0,0,0.646973,0.646973,0.00808716,8,8,0.008544,0,114,120,0.113584,10
1.82938,36350,40,39.9353,0.0646973,0,0,0.646973,0.646973,0.00808716,8,8,0.008544,0,84,120,0.113584,10
