time_s,encoder_count,q_ref_deg,q_link_deg,error_deg,qdot_link_deg_s,error_dot_deg_s,tau_pd_joint_raw_Nm,tau_pd_joint_clamped_Nm,tau_motor_cmd_Nm,target_torque_permille,actual_torque_permille,actual_torque_Nm,velocity_motor_rpm_606C,current_actual_mA,current_avg_mA,estimated_current_cmd_A,mode_display
1.58502,36342,40,39.9265,0.0734863,0,0,0.734863,0.734863,0.00918579,9,10,0.01068,0,148,136,0.129014,10
1.61687,36342,40,39.9265,0.0734863,0,0,0.734863,0.734863,0.00918579,9,8,0.008544,0,146,134,0.129014,10
1.64998,36342,40,39.9265,0.0734863,0,0,0.734863,0.734863,0.00918579,9,11,0.011748,0,124,135,0.129014,10
1.69403,36342,40,39.9265,0.0734863,0,0,0.734863,0.734863,0.00918579,9,8,0.008544,0,193,135,0.129014,10
1.72788,36342,40,39.9265,0.0734863,0,0,0.734863,0.734863,0.00918579,9,11,0.011748,0,122,135,0.129014,10
1.76098,36342,40,39.9265,0.0734863,0,0,0.734863,0.734863,0.00918579,9,8,0.008544,0,170,135,0.129014,10
1.79501,36342,40,39.9265,0.0734863,0,0,0.734863,0.734863,0.00918579,9,10,0.01068,0,134,134,0.129014,10
1.82986,36342,40,39.9265,0.0734863,0,0,0.734863,0.734863,0.00918579,9,9,0.009612,0,112,135,0.129014,10
1.86385,36342,40,39.9265,0.0734863,0,0,0.734863,0.734863,0.00918579,9,12,0.012816,0,133,135,0.129014,10
1.8989,36342,40,39.9265,0.0734863,0,0,0.734863,0.734863,0.00918579,9,9,0.009612,0,135,134,0.129014,10
1.93089,36342,40,39.9265,0.0734863,0,0,0.734863,0.734863,0.00918579,9,10,0.01068,0,121,134,0.129014,10
1.9618,36342,40,39.9265,0.0734863,0,0,0.734863,0.734863,0.00918579,9,8,0.008544,0,147,135,0.129014,10
