time_s,encoder_count,q_ref_deg,q_link_deg,error_deg,qdot_link_deg_s,error_dot_deg_s,tau_pd_joint_Nm,tau_motor_cmd_Nm,target_torque_permille,actual_torque_permille,actual_torque_Nm,velocity_motor_rpm_606C,current_actual_mA,current_avg_mA,estimated_current_cmd_A,mode_display
4e-06,27,40,0.0296631,39.9703,0,0,40,0.5,468,1,0.001068,0,1,0,7.02247,10
0.0347591,46,40,0.0505371,39.9495,0.600604,-0.600604,40,0.5,468,462,0.493416,152,6956,6992,7.02247,10
0.071827,640,40,0.703125,39.2969,17.6052,-17.6052,40,0.5,468,465,0.49662,347,7008,7017,7.02247,10
0.108852,1703,40,1.87097,38.129,31.5417,-31.5417,40,0.5,468,471,0.503028,501,7040,7020,7.02247,10
0.139758,2823,40,3.10144,36.8986,39.8134,-39.8134,40,0.5,468,468,0.499824,584,7025,7013,7.02247,10
0.173766,4221,40,4.63733,35.3627,45.1629,-45.1629,40,0.5,468,469,0.500892,639,6978,7016,7.02247,10
0.20774,5733,40,6.29846,33.7015,48.8948,-48.8948,40,0.5,468,466,0.497688,675,7001,7013,7.02247,10
0.240727,7287,40,8.00574,31.9943,51.7561,-51.7561,40,0.5,468,469,0.500892,704,6998,7013,7.02247,10
0.270765,8801,40,9.66907,30.3309,55.3742,-55.3742,40,0.5,468,464,0.495552,720,6965,7015,7.02247,10
0.304756,10438,40,11.4675,28.5325,52.9102,-52.9102,40,0.5,468,463,0.494484,741,7115,7015,7.02247,10
0.340769,12267,40,13.4769,26.5231,55.7954,-55.7954,40,0.5,468,465,0.49662,744,6954,7023,7.02247,10
0.372755,13939,40,15.3138,24.6862,57.4287,-57.4287,40,0.5,468,468,0.499824,765,7086,7017,7.02247,10
0.405785,15646,40,17.1892,22.8108,56.7785,-56.7785,40,0.5,468,473,0.505164,773,7087,7025,7.02247,10
0.439751,17433,40,19.1525,20.8475,57.8004,-57.8004,40,0.5,468,473,0.505164,777,7039,7023,7.02247,10
0.472782,19197,40,21.0905,18.9095,58.6719,-58.6719,40,0.5,468,480,0.51264,791,7001,7015,7.02247,10
0.505781,20953,40,23.0197,16.9803,58.4626,-58.4626,40,0.5,468,466,0.497688,802,7006,7017,7.02247,10
0.538674,22725,40,24.9664,15.0336,59.1841,-59.1841,40,0.5,468,469,0.500892,789,6999,7016,7.02247,10
0.574854,24698,40,27.134,12.866,59.9129,-59.9129,40,0.5,468,467,0.498756,811,7078,7019,7.02247,10
0.611684,26710,40,29.3445,10.6555,60.0173,-60.0173,40,0.5,468,471,0.503028,795,7054,7024,7.02247,10
0.647801,28687,40,31.5165,8.48352,60.1374,-60.1374,40,0.5,468,469,0.500892,809,7011,7022,7.02247,10
0.680726,30526,40,33.5369,6.46313,61.3638,-61.3638,40,0.5,468,464,0.495552,808,7036,7016,7.02247,10
0.714778,32413,40,35.61,4.39001,60.88,-60.88,19.5482,0.244352,229,465,0.49662,805,7100,7017,3.43191,10
0.749837,34340,40,37.7271,2.27295,60.3859,-60.3859,-1.42488,-0.017811,-17,226,0.241368,747,3437,3451,-0.250155,10
0.784828,35906,40,39.4475,0.55249,49.1691,-49.1691,-14.1427,-0.176784,-166,-13,-0.013884,464,-116,-231,-2.48292,10
0.819781,36685,40,40.3033,-0.303345,24.4854,-24.4854,-12.8276,-0.160345,-150,-160,-0.17088,107,-2513,-2472,-2.25204,10
0.85576,36709,40,40.3297,-0.329712,0.732833,-0.732833,-3.59025,-0.0448782,-42,-150,-0.1602,-91,-2250,-2247,-0.630311,10
0.889717,36472,40,40.0693,-0.0693359,-7.66797,7.66797,2.37383,0.0296728,28,-42,-0.044856,-97,-625,-636,0.416753,10
0.924897,36319,40,39.9012,0.0987549,-4.77796,4.77796,2.89873,0.0362342,34,29,0.030972,-10,425,415,0.508907,10
0.957803,36333,40,39.9166,0.083374,0.46742,-0.46742,0.646772,0.00808465,8,35,0.03738,15,503,510,0.113548,10
0.991778,36360,40,39.9463,0.0537109,0.873099,-0.873099,0.18787,0.00234837,2,8,0.008544,3,80,121,0.0329827,10
1.02367,36356,40,39.9419,0.0581055,-0.137776,0.137776,0.636165,0.00795206,7,4,0.004272,-2,10,30,0.111686,10
1.05588,36355,40,39.9408,0.0592041,-0.0341101,0.0341101,0.605685,0.00757106,7,7,0.007476,0,73,104,0.106335,10
1.08876,36355,40,39.9408,0.0592041,0,0,0.592041,0.00740051,7,8,0.008544,0,147,105,0.10394,10
1.12283,36355,40,39.9408,0.0592041,0,0,0.592041,0.00740051,7,7,0.007476,0,102,105,0.10394,10
1.16075,36355,40,39.9408,0.0592041,0,0,0.592041,0.00740051,7,7,0.007476,0,102,105,0.10394,10
1.19483,36355,40,39.9408,0.0592041,0,0,0.592041,0.00740051,7,8,0.008544,0,131,105,0.10394,10
1.22774,36355,40,39.9408,0.0592041,0,0,0.592041,0.00740051,7,6,0.006408,0,93,105,0.10394,10
1.26384,36355,40,39.9408,0.0592041,0,0,0.592041,0.00740051,7,6,0.006408,0,118,105,0.10394,10
1.29877,36355,40,39.9408,0.0592041,0,0,0.592041,0.00740051,7,8,0.008544,0,99,105,0.10394,10
1.33278,36355,40,39.9408,0.0592041,0,0,0.592041,0.00740051,7,5,0.00534,0,105,105,0.10394,10
1.36878,36355,40,39.9408,0.0592041,0,0,0.592041,0.00740051,7,9,0.009612,0,105,105,0.10394,10
1.40806,36355,40,39.9408,0.0592041,0,0,0.592041,0.00740051,7,5,0.00534,0,67,105,0.10394,10
1.44491,36355,40,39.9408,0.0592041,0,0,0.592041,0.00740051,7,8,0.008544,0,115,105,0.10394,10
1.48184,36355,40,39.9408,0.0592041,0,0,0.592041,0.00740051,7,9,0.009612,0,77,105,0.10394,10
