time_s,target_joint_deg,actual_joint_deg,error_joint_deg,velocity_actual_avg_units,joint_velocity_est_deg_s,current_actual_mA,current_actual_avg_mA,torque_actual_avg_raw_per_1000,motor_rated_torque_mNm,motor_torque_actual_avg_Nm,joint_torque_est_avg_Nm_no_efficiency,
0.0353406,0,30.2421,-30.2421,0,0,-63,-35,-4,1068000,-4.272,-341.76,
0.115746,0,30.2399,-30.2399,0,0,-360,-356,-26,1068000,-27.768,-2221.44,
0.197714,0,30.197,-30.197,-11,-0.825,-905,-855,-61,1068000,-65.148,-5211.84,
0.279683,0,30.0531,-30.0531,-27,-2.025,-1621,-1499,-105,1068000,-112.14,-8971.2,
0.365293,0,29.8048,-29.8048,-50,-3.75,-2244,-2226,-153,1068000,-163.404,-13072.3,
0.449756,0,29.3324,-29.3324,-86,-6.45,-2888,-2820,-192,1068000,-205.056,-16404.5,
0.535665,0,28.6018,-28.6018,-126,-9.45,-3210,-3211,-216,1068000,-230.688,-18455,
0.622249,0,27.635,-27.635,-156,-11.7,-3179,-3247,-216,1068000,-230.688,-18455,
0.71012,0,26.5858,-26.5858,-162,-12.15,-3230,-3198,-213,1068000,-227.484,-18198.7,
0.794645,0,25.5114,-25.5114,-162,-12.15,-3188,-3147,-210,1068000,-224.28,-17942.4,
0.879692,0,24.5094,-24.5094,-158,-11.85,-3188,-3150,-211,1068000,-225.348,-18027.8,
0.962646,0,23.4998,-23.4998,-158,-11.85,-3083,-3149,-210,1068000,-224.28,-17942.4,
1.04977,0,22.5242,-22.5242,-155,-11.625,-3149,-3172,-212,1068000,-226.416,-18113.3,
1.13179,0,21.5101,-21.5101,-157,-11.775,-3191,-3177,-211,1068000,-225.348,-18027.8,
1.21469,0,20.5345,-20.5345,-156,-11.7,-3192,-3174,-212,1068000,-226.416,-18113.3,
1.29664,0,19.5864,-19.5864,-154,-11.55,-3187,-3207,-214,1068000,-228.552,-18284.2,
1.3817,0,18.6031,-18.6031,-159,-11.925,-3148,-3167,-211,1068000,-225.348,-18027.8,
1.46268,0,17.6089,-17.6089,-157,-11.775,-3157,-3163,-210,1068000,-224.28,-17942.4,
1.54567,0,16.6465,-16.6465,-159,-11.925,-3097,-3115,-207,1068000,-221.076,-17686.1,
1.62675,0,15.6775,-15.6775,-154,-11.55,-3163,-3135,-210,1068000,-224.28,-17942.4,
1.70867,0,14.7426,-14.7426,-154,-11.55,-3213,-3150,-210,1068000,-224.28,-17942.4,
1.78967,0,13.7878,-13.7878,-153,-11.475,-3174,-3163,-211,1068000,-225.348,-18027.8,
1.87468,0,12.8595,-12.8595,-153,-11.475,-3188,-3179,-212,1068000,-226.416,-18113.3,
1.95967,0,11.8685,-11.8685,-156,-11.7,-3153,-3154,-211,1068000,-225.348,-18027.8,
2.04394,0,10.8962,-10.8962,-152,-11.4,-3231,-3195,-213,1068000,-227.484,-18198.7,
2.1278,0,9.90527,-9.90527,-157,-11.775,-3178,-3154,-210,1068000,-224.28,-17942.4,
2.21372,0,8.93848,-8.93848,-153,-11.475,-3166,-3169,-212,1068000,-226.416,-18113.3,
2.30189,0,7.94971,-7.94971,-155,-11.625,-3115,-3153,-210,1068000,-224.28,-17942.4,
2.38563,0,6.92798,-6.92798,-153,-11.475,-3133,-3154,-211,1068000,-225.348,-18027.8,
2.46771,0,5.96997,-5.96997,-154,-11.55,-3149,-3159,-210,1068000,-224.28,-17942.4,
2.55166,0,5.01855,-5.01855,-153,-11.475,-3130,-3151,-210,1068000,-224.28,-17942.4,
2.6347,0,4.06494,-4.06494,-152,-11.4,-3165,-3163,-211,1068000,-225.348,-18027.8,
2.71774,0,3.10693,-3.10693,-153,-11.475,-3141,-3145,-209,1068000,-223.212,-17857,
2.79871,0,2.19287,-2.19287,-143,-10.725,-3002,-2956,-196,1068000,-209.328,-16746.2,
2.88468,0,1.38428,-1.38428,-129,-9.675,-2581,-2629,-173,1068000,-184.764,-14781.1,
2.96765,0,0.658081,-0.658081,-103,-7.725,-2247,-2290,-150,1068000,-160.2,-12816,
3.05373,0,0.13623,-0.13623,-76,-5.7,-1898,-1956,-128,1068000,-136.704,-10936.3,
3.13473,0,-0.238403,0.238403,-52,-3.9,-1545,-1603,-104,1068000,-111.072,-8885.76,
3.22074,0,-0.46582,0.46582,-31,-2.325,-1181,-1188,-77,1068000,-82.236,-6578.88,
